"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"QREG875H","journalArticle","2021","Mahajan, Pranav; Baths, Veeky","Acoustic and Language Based Deep Learning Approaches for Alzheimer's Dementia Detection From Spontaneous Speech","Frontiers in Aging Neuroscience","","1663-4365","10.3389/fnagi.2021.623607","https://www.frontiersin.org/journals/aging-neuroscience/articles/10.3389/fnagi.2021.623607/full","<p>Current methods for early diagnosis of Alzheimer's Dementia include structured questionnaires, structured interviews, and various cognitive tests. Language difficulties are a major problem in dementia as linguistic skills break down. Current methods do not provide robust tools to capture the true nature of language deficits in spontaneous speech. Early detection of Alzheimer's Dementia (AD) from spontaneous speech overcomes the limitations of earlier approaches as it is less time consuming, can be done at home, and is relatively inexpensive. In this work, we re-implement the existing NLP methods, which used CNN-LSTM architectures and targeted features from conversational transcripts. Our work sheds light on why the accuracy of these models drops to 72.92% on the ADReSS dataset, whereas, they gave state of the art results on the DementiaBank dataset. Further, we build upon these language input-based recurrent neural networks by devising an end-to-end deep learning-based solution that performs a binary classification of Alzheimer's Dementia from the spontaneous speech of the patients. We utilize the ADReSS dataset for all our implementations and explore the deep learning-based methods of combining acoustic features into a common vector using recurrent units. Our approach of combining acoustic features using the Speech-GRU improves the accuracy by 2% in comparison to acoustic baselines. When further enriched by targeted features, the Speech-GRU performs better than acoustic baselines by 6.25%. We propose a bi-modal approach for AD classification and discuss the merits and opportunities of our approach.</p>","2021-02-05","2025-02-18 20:14:20","2025-02-18 20:14:20","2025-02-18 20:14:20","","","","13","","Front. Aging Neurosci.","","","","","","","","English","","","","","Frontiers","","Publisher: Frontiers","","/Users/rebecasanz/Zotero/storage/IQT6BCJQ/Mahajan and Baths - 2021 - Acoustic and Language Based Deep Learning Approaches for Alzheimer's Dementia Detection From Spontan.pdf","","","Affective Computing; cognitive decline detection; Computational paralinguistics; deep learning; Natural Language Processing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9FGTQMMB","journalArticle","2022","Yang, Qin; Li, Xin; Ding, Xinyun; Xu, Feiyang; Ling, Zhenhua","Deep learning-based speech analysis for Alzheimer’s disease detection: a literature review","Alzheimer's Research & Therapy","","1758-9193","10.1186/s13195-022-01131-3","https://doi.org/10.1186/s13195-022-01131-3","Alzheimer’s disease has become one of the most common neurodegenerative diseases worldwide, which seriously affects the health of the elderly. Early detection and intervention are the most effective prevention methods currently. Compared with traditional detection methods such as traditional scale tests, electroencephalograms, and magnetic resonance imaging, speech analysis is more convenient for automatic large-scale Alzheimer’s disease detection and has attracted extensive attention from researchers. In particular, deep learning-based speech analysis and language processing techniques for Alzheimer’s disease detection have been studied and achieved impressive results.","2022-12-14","2025-02-18 20:18:46","2025-02-18 20:18:46","2025-02-18 20:18:46","186","","1","14","","Alz Res Therapy","Deep learning-based speech analysis for Alzheimer’s disease detection","","","","","","","en","","","","","Springer Link","","","","/Users/rebecasanz/Zotero/storage/8YAHMDEL/Yang et al. - 2022 - Deep learning-based speech analysis for Alzheimer’s disease detection a literature review.pdf","","","Alzheimer’s disease detection; Artificial Intelligence; Deep learning; Speech analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27KGUJEL","journalArticle","2021","Luz, Saturnino; Haider, Fasih; de la Fuente Garcia, Sofia; Fromm, Davida; MacWhinney, Brian","Editorial: Alzheimer's Dementia Recognition through Spontaneous Speech","Frontiers in Computer Science","","2624-9898","10.3389/fcomp.2021.780169","https://www.frontiersin.org/journals/computer-science/articles/10.3389/fcomp.2021.780169/full","While a number of studies have investigated speech and language features for the detection of AD and mild cognitive impairment (Fraser et al., 2016), and proposed various signal processing and machine learning methods for this task (Petti et al., 2020), the field still lacks balanced benchmark data against which different approaches can be systematically compared. This Research Topic addresses this issue by exploring the use of speech characteristics for AD recognition using balanced data and shared tasks, such as those provided by the ADReSS Challenges (Luz et al., 2020(Luz et al., , 2021. These tasks have brought together groups working on this active area of research, providing the community with benchmarks for comparison of speech and language approaches to cognitive assessment. Reflecting the multidisciplinary character of the topic, the articles in this collection span three journals: Frontiers of Aging Neuroscience, Frontiers of Computer Science and Frontiers in Psychology.Most papers in this Reseach Topic target two main tasks: AD classification, for distinguishing individuals with AD from healthy controls, and cognitive test score regression, to infer the patient&#39;s Mini Mental Status Examination (MMSE) score (Folstein et al., 1975). Of the twenty papers published in this collection, 14 used the ADReSS dataset (Luz et al., 2020), by itself or in combination with other data. The ADReSS dataset is a curated subset of DementiaBank&#39;s Pitt Corpus, matched for age and gender so as to minimise risk of bias in the prediction tasks. The data consist of audio recordings of picture descriptions elicited from participants using the Cookie Theft picture from the Boston Diagnostic Aphasia Examination (Becker et al., 1994;Goodglass et al., 2001), transcribed and annotated using the CHAT coding system (MacWhinney, 2021). The papers covered a variety of approaches and models.Antonsson, Lundolm Fors, Eckerstr&#246;m, and Kokkinakis aimed to distinguish progressive cognitive decline from stable cognitive impairment using semantic analysis of a discourse task. Support Vector Machine (SVM) models performed best (AUC=0.93) with both semantic verbal fluency scores and disfluency features from the discourse task. Discourse analysis revealed significantly greater use of unrelated speech in the progressive cognitive decline group compared with the stable group and healthy controls (HC).Clarke, Barrick, and Garrard examined the impact of five different speech tasks (picture description, conversation, overlearned narrative recall, procedural recall, novel narrative retelling) on classification of 50 participants: 25 HC, 13 mild AD, 12 MCI. Linguistic features (n=286) were automatically extracted from each task and used to train SVMs. Classification accuracy varied across tasks (62%-78% for HC vs AD+MCI, 59%-90% for HC vs AD, 50%-78% for HC vs MCI) as did which features were most important to the classification. Balagopalan, Eyre, Robin, Rudzicz and Novikova used linguistic and acoustic features derived from ADReSS speech and transcripts. They tuned a pretrained BERT model (Devlin et al., 2018) and compared its features to clinically-interpretable language features. The BERT model outperformed other features and achieved accuracy of 83.33% for AD classification. A ridget regressor with 25 pre-engineered features obtained root mean squared error (RMSE) of 4.56 in MMSE prediction.Chlasta, and Wołk used VGGish, a pretrained a Tensorflow model for audio feature extraction and a custom raw waveform based convolutional neural neural (CNN), DemCNN, to model the acoustic characteristics of AD speech on the ADreSS dataset. DemCNN provided better results than VGGish (Hershey et al., 2017) and achieved an accuracy of 62.5% using only the acoustic information.De Looze, Dehsarvi, Crosby, Vourdanou, Coen, Lawlor and Reilly combined structural MRI, neuropsychological testing and conversational features to explore temporal characteristics of speech in a collaborative referencing task. They investigated associations with cognitive function and volumetry in brain areas known to be affected by MCI and AD. A linear mixed-effect model was built for data of 32 individuals to assess the predictive power of conversational speech features to classify clinical groups. They found that slower speech and slower turn-taking may provide useful markers for early detection of cognitive decline.Guo, Li, Roan, Pakhomov, and Cohen emphasized the importance of large normative datasets in training accurate and reliable machine learning models for dementia detection. They incorporated a new corpus of Cookie Theft picture descriptions (HC=839, NC=115) from the Wisconsin Longitudinal Study (Herd et al., 2014) to train a BERT model and demonstrated improved performance on the detection task compared with results of the model trained on the ADReSS data alone (82.1% vs 79.8, accuracy, and 92.3% vs 88.3% AUC).Haulcy and Glass investigated the use of i-vectors and x-vectors (Snyder et al., 2018), which are acoustic features originally devised for speaker identification, and linguistic features to tackle AD detection and MMSE prediction. The i-vectors and x-vectors were pre-trained on existing datasets unrelated to AD as well as in-domain data. Several classification and regression models were tested, yielding 85.4% accuracy in AD detection with SVM and Random Forests, and 4.56 RMSE with a gradient boosting regressor. Linguistic and acoustic features were modelled separately. The former yielded better performance. The authors speculate that the poor performance of i-vectors and x-vectors was due to in-and out-of-domain training data mismatch.Jonell, Mo&#235;ll , H&#229;kansson , Henter, Kucherenko , Mikheeva, Hagman, Holleman, Kivipelto, Kjellstr&#246;m, Gustafson and Beskow proposed a multimodal analysis of patient behavior to improve early detection of dementia. Their system captured data from clinical interviews using nine different sensor devices which recorded speech, language, facial gestures, motor signs, gaze, pupil dilation, heart rate variability and thermal emission. This information was gathered from 25 patients with AD and later combined with brain scans, psychological tests, speech therapist assessments and other clinical data. They found that multimodality, in combination with the more established biomarkers, improves clinical discrimination.Laguarta and Subirana present an approach to the identification of different diseases which combines multiple biomarkers (features), including vocal cords, sentiment, lung and respiratory tract, among others. The authors employed transfer learning from other (non-AD) audio datasets to learn these features. The resulting model achieved up to 93% accuracy on the ADReSS dataset. Interestingly, the respiratory tract features, which were previously used in the detection of COVID-19 from a cough dataset, also proved helpful in AD detection.Lindsay, Tr&#246;ger and K&#246;nig investigated spontaneous speech of 78 HC and 76 AD individuals in English and French, proposing a multilingual model. Task-specific, semantic, syntactic and paralinguistic features were analysed. They found that language features, excluding task specific features, represent &quot;generalisable&quot; signs for cognitive language impairment in AD, outperforming all other feature sets. Semantic features were the most generalizable, with paralinguistic features showing no overlap between languages.The work of Mahajan and Baths tested several acoustic and linguistic models, comparing their performance on ADReSS and a larger subset of DementiaBank. They employed a deep learning bimodal model to combine these features. For linguistic models, accuracy was lower on ADReSS than on DementiaBank (73% vs 88%). The authors attribute this to the smaller size of ADReSS and to overfitting in DementiaBank due to repeated samples from the same participant. Although the best linguistic model performed similarly to the bimodal learner, the authors suggest a number of possible improvements.Martinc, Haider, Pollak and Luz presented a multimodal approach to AD detection using ADreSS data. The Active Data Representation method (Haider et al., 2020) was used for fusion of acoustic and textual features at sentence and word level, along with temporal aspects of linguistic features. They achieved an accuracy of 93.75% through late fusion of acoustic, text and temporal models.Meghanani, Anoop, and Ramakrishnan compared two approaches to the challenge tasks based on use of the non-automatic, hand-created transcripts. Both methods relied on the extraction of n-grams of varying lengths (n=2,3,4,5) from the transcripts. The first method employed CNNs with a single convolutional layer in which the kernel size was adapted to the n-gram size. The second method used the fastText model with bigrams and trigrams. The fastText models outperformed the CNN models, achieving 83.3% accuracy for classification and RMSE of 4.87 for prediction of MMSE scores.Millington and Luz approached the data representation problem in the ADReSS dataset by converting its text transcriptions into word co-occurrence graphs and computing several graph structure metrics. They found that AD graphs have lower heterogeneity and centralization, but higher edge density. These metrics were used as input features to standard machine learning classifiers and regressors. A graph embedding metric was tested for comparison. Graph metrics outperformed graph embedding, achieving 66.7% accuracy in classification, and 5.67 RMSE in MMSE regression.Nasreen, Rohanian, Hough and Purver investigated the role of conversational features such as dysfluencies, pauses, overlaps and other interactional elements in AD detection. They used the Carolinas Conversations Collection (Pope and Davis, 2011) to create classification models based on those features. The combination of dysfluency and interactional features resulted in a classification accuracy of 90%. These findings in conversational speech seem to agree with the findings from other papers in this Research Topic, which highlighted the importance of pauses and dysfluency in detecting AD in the ADReSS monologue data.Parvin, Mohammadian, Amani-Shalamzari, Bayati and Tazesh performed a randomised controlled clinical trial to investigate the effects of dual-task training on 26 patients with AD. Patients performed physical, cognitive and mental assessments and had their brain oscillations measured pre-and post-intervention, which consisted of a 12-week visual training program. The trained group showed significant improvements in cognitive function, mood and fitness. This was associated with a significant positive change in brain oscillation.Sadeghian, Schaffer, and Zahorian examined the potential of an almost fully automated system for AD detection. Rather than using DementiaBank, they collected 72 new samples (26 AD, 46 HC) with higher quality audio. ASR was performed on data with pauses removed using voice activity detection. From this, they extracted 236 textual features and then used a genetic algorithm as well as a Multi-Layer Perceptron to identify the 10 most useful features, achieving 94% accuracy in detection. Shah Sawalha, Tasnim, Qi, Stroulia and Greiner used speech samples from the DementiaBank database for binary classification and MMSE regression. Although they developed models that combined acoustic and language-based features, their best performing model for binary classification used language-based features only with a regularized logistic regression, achieving 85.4% accuracy on a hold-out test set. A more reduced set of language features was their best performing model for the regression task, with an RMSE of 5.62.Yuan, Cai, Bian, Ye, and Church presented a method for encoding filled and unfilled pauses in transcripts to fine tune the training of language models using BERT and ERNIE. The accuracy of dementia detection improved to 89.6% (with ERNIE). Compared with controls, the individuals with dementia vocalised filled pause um much less frequently than uh, and their language samples included more pauses.Zhu, Liang, Batsis, and Roth used a transfer learning technique to fine-tuning the last layers of a pretrained model with customized layers for AD detection. The MobileNet and YAMNet network architectures were employed for this. They then used speech and text versions of BERT, individually and in combination for the same task. The text models outperformed the speech models, with the version based on pre-training with the longest input frame achieving 89.58% accuracy. The models which combined audio and speech data generally performed better than the models separately.","2021-10-21","2025-02-18 20:21:08","2025-02-18 20:21:08","2025-02-18 20:21:08","","","","3","","Front. Comput. Sci.","Editorial","","","","","","","English","","","","","Frontiers","","Publisher: Frontiers","","/Users/rebecasanz/Zotero/storage/HLZX7XNL/Luz et al. - 2021 - Editorial Alzheimer's Dementia Recognition through Spontaneous Speech.pdf","","","Alzheiemer’s disease; Computational paralinguistics; machine learning; natural language processing (NLP); Signal Processing (SP); Speech processing and recognition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N4MQRZ7Y","journalArticle","2020","Petti, Ulla; Baker, Simon; Korhonen, Anna","A systematic literature review of automatic Alzheimer’s disease detection from speech and language","Journal of the American Medical Informatics Association","","1527-974X","10.1093/jamia/ocaa174","https://doi.org/10.1093/jamia/ocaa174","In recent years numerous studies have achieved promising results in Alzheimer’s Disease (AD) detection using automatic language processing. We systematically review these articles to understand the effectiveness of this approach, identify any issues and report the main findings that can guide further research.We searched PubMed, Ovid, and Web of Science for articles published in English between 2013 and 2019. We performed a systematic literature review to answer 5 key questions: (1) What were the characteristics of participant groups? (2) What language data were collected? (3) What features of speech and language were the most informative? (4) What methods were used to classify between groups? (5) What classification performance was achieved?We identified 33 eligible studies and 5 main findings: participants’ demographic variables (especially age ) were often unbalanced between AD and control group; spontaneous speech data were collected most often; informative language features were related to word retrieval and semantic, syntactic, and acoustic impairment; neural nets, support vector machines, and decision trees performed well in AD detection, and support vector machines and decision trees performed well in decline detection; and average classification accuracy was 89% in AD and 82% in mild cognitive impairment detection versus healthy control groups.The systematic literature review supported the argument that language and speech could successfully be used to detect dementia automatically. Future studies should aim for larger and more balanced datasets, combine data collection methods and the type of information analyzed, focus on the early stages of the disease, and report performance using standardized metrics.","2020-11-01","2025-02-18 20:21:27","2025-02-18 20:21:27","2025-02-18 20:21:27","1784-1797","","11","27","","Journal of the American Medical Informatics Association","","","","","","","","","","","","","Silverchair","","","","/Users/rebecasanz/Zotero/storage/3Y6FSSGV/Petti et al. - 2020 - A systematic literature review of automatic Alzheimer’s disease detection from speech and language.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SIERGRI8","journalArticle","2020","Pulido, María Luisa Barragán; Hernández, Jesús Bernardino Alonso; Ballester, Miguel Ángel Ferrer; González, Carlos Manuel Travieso; Mekyska, Jiří; Smékal, Zdeněk","Alzheimer's disease and automatic speech analysis: A review","Expert Systems with Applications","","0957-4174","10.1016/j.eswa.2020.113213","https://www.sciencedirect.com/science/article/pii/S0957417420300397","The objective of this paper is to present the state of-the-art relating to automatic speech and voice analysis techniques as applied to the monitoring of patients suffering from Alzheimer's disease as well as to shed light on possible future research topics. This work reviews more than 90 papers in the existing literature and focuses on the main feature extraction techniques and classification methods used. In order to guide researchers interested in working in this area, the most frequently used data repositories are also given. Likewise, it identifies the most clinically relevant results and the current lines developed in the field. Automatic speech analysis, within the Health 4.0 framework, offers the possibility of assessing these patients, without the need for a specific infrastructure, by means of non-invasive, fast and inexpensive techniques as a complement to the current diagnostic methods.","2020-07-15","2025-02-18 20:21:43","2025-02-18 20:21:43","2025-02-18 20:21:43","113213","","","150","","Expert Systems with Applications","Alzheimer's disease and automatic speech analysis","","","","","","","","","","","","ScienceDirect","","","","/Users/rebecasanz/Zotero/storage/3LNEDN3K/Pulido et al. - 2020 - Alzheimer's disease and automatic speech analysis A review.pdf","","","Alzheimer's disease (AD); Automatic processing; Speech; Voice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E8EDGRXZ","journalArticle","2024","Jahan, Zerin; Khan, Surbhi Bhatia; Saraee, Mo","Early dementia detection with speech analysis and machine learning techniques","Discover Sustainability","","2662-9984","10.1007/s43621-024-00217-2","https://doi.org/10.1007/s43621-024-00217-2","This in-depth study journey explores the context of natural language processing and text analysis in dementia detection, revealing their importance in a variety of fields. Beginning with an examination of the widespread and influence of text data. The dataset utilised in this study is from TalkBank's DementiaBank, which is basically a vast database of multimedia interactions built with the goal of examining communication patterns in the context of dementia. The various communication styles dementia patients exhibit when communicating with others are seen from a unique perspective by this specific dataset. Thorough data preprocessing procedures, including cleansing, tokenization, and structuring, are undertaken, with a focus on improving prediction capabilities through the combination of textual and non-textual information in the field of feature engineering. In the subsequent phase, the precision, recall, and F1-score metrics of Support Vector Machines (SVM), K-Nearest Neighbours (KNN), Random Forest, and Artificial Neural Networks (ANN) are assessed. Empirical facts are synthesized using text analysis methods and models to formulate a coherent conclusion. The significance of text data analysis, the revolutionary potential of natural language processing, and the direction for future research are highlighted in this synthesis. Throughout this paper, readers are encouraged to leverage text data to embark on their own adventures in the evolving, data-centric world of dementia detection.","2024-04-11","2025-02-18 20:21:54","2025-02-18 20:21:54","2025-02-18 20:21:54","65","","1","5","","Discov Sustain","","","","","","","","en","","","","","Springer Link","","","","/Users/rebecasanz/Zotero/storage/E5GWK4UJ/Jahan et al. - 2024 - Early dementia detection with speech analysis and machine learning techniques.pdf","","","Classification; Dementia; Feature extraction; Machine learning; Speech transcript analysis; Text mining; Word embedding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"836Y7FX3","journalArticle","2025","Sharafeldeen, Ahmed; Keowen, Justin; Shaffie, Ahmed","Machine Learning Approaches for Speech-Based Alzheimer’s Detection: A Comprehensive Survey","Computers","","2073-431X","10.3390/computers14020036","https://www.mdpi.com/2073-431X/14/2/36","Alzheimer’s disease (AD) is a progressive neurodegenerative disorder that significantly impairs cognitive functions, leading to memory loss and other behavioral changes. It is the seventh leading cause of death worldwide, with millions of people affected. Early and accurate detection of AD is critical for improving patient outcomes and slowing disease progression. Recent advancements in machine learning (ML) and deep learning (DL) models have demonstrated significant potential for detecting AD using patient’s speech signals, as subtle changes in speech patterns, such as reduced fluency, pronunciation difficulties, and cognitive decline, can serve as early indicators of the disease, offering a non-invasive and cost-effective method for early diagnosis. This survey paper provides a comprehensive review of the current literature on the application of ML and DL techniques for AD detection through the analysis of a patient’s speech signal, utilizing various acoustic and textual features. Moreover, it offers an overview of the changes in the brain caused by the disease, associated risk factors, publicly available datasets, and future directions for leveraging ML and DL in the detection of AD.","2025-02","2025-02-18 20:22:19","2025-02-18 20:22:19","2025-02-18 20:22:19","36","","2","14","","","Machine Learning Approaches for Speech-Based Alzheimer’s Detection","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Number: 2 Publisher: Multidisciplinary Digital Publishing Institute","","/Users/rebecasanz/Zotero/storage/SYLXZTHG/Sharafeldeen et al. - 2025 - Machine Learning Approaches for Speech-Based Alzheimer’s Detection A Comprehensive Survey.pdf","","","acoustic features; Alzheimer’s disease (AD); deep learning (DL); linguistic features; machine learning (ML); speech signal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FJUCBXXI","journalArticle","2022","Vigo, Inês; Coelho, Luis; Reis, Sara","Speech- and Language-Based Classification of Alzheimer’s Disease: A Systematic Review","Bioengineering","","2306-5354","10.3390/bioengineering9010027","https://www.mdpi.com/2306-5354/9/1/27","Background: Alzheimer’s disease (AD) has paramount importance due to its rising prevalence, the impact on the patient and society, and the related healthcare costs. However, current diagnostic techniques are not designed for frequent mass screening, delaying therapeutic intervention and worsening prognoses. To be able to detect AD at an early stage, ideally at a pre-clinical stage, speech analysis emerges as a simple low-cost non-invasive procedure. Objectives: In this work it is our objective to do a systematic review about speech-based detection and classification of Alzheimer’s Disease with the purpose of identifying the most effective algorithms and best practices. Methods: A systematic literature search was performed from Jan 2015 up to May 2020 using ScienceDirect, PubMed and DBLP. Articles were screened by title, abstract and full text as needed. A manual complementary search among the references of the included papers was also performed. Inclusion criteria and search strategies were defined a priori. Results: We were able: to identify the main resources that can support the development of decision support systems for AD, to list speech features that are correlated with the linguistic and acoustic footprint of the disease, to recognize the data models that can provide robust results and to observe the performance indicators that were reported. Discussion: A computational system with the adequate elements combination, based on the identified best-practices, can point to a whole new diagnostic approach, leading to better insights about AD symptoms and its disease patterns, creating conditions to promote a longer life span as well as an improvement in patient quality of life. The clinically relevant results that were identified can be used to establish a reference system and help to define research guidelines for future developments.","2022-01","2025-02-18 20:22:32","2025-02-18 20:22:32","2025-02-18 20:22:32","27","","1","9","","","Speech- and Language-Based Classification of Alzheimer’s Disease","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Number: 1 Publisher: Multidisciplinary Digital Publishing Institute","","/Users/rebecasanz/Zotero/storage/YCEHXE9X/Vigo et al. - 2022 - Speech- and Language-Based Classification of Alzheimer’s Disease A Systematic Review.pdf","","","Alzheimer’s disease (AD); classification; features; machine learning (ML); mild cognitive impairment (MCI); speech","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6E4J96FW","journalArticle","2021","Lindsay, Hali; Tröger, Johannes; König, Alexandra","Language Impairment in Alzheimer’s Disease—Robust and Explainable Evidence for AD-Related Deterioration of Spontaneous Speech Through Multilingual Machine Learning","Frontiers in Aging Neuroscience","","1663-4365","10.3389/fnagi.2021.642033","https://www.frontiersin.org/journals/aging-neuroscience/articles/10.3389/fnagi.2021.642033/full","<p>Alzheimer’s disease (AD) is a pervasive neurodegenerative disease that affects millions worldwide and is most prominently associated with broad cognitive decline, including language impairment. Picture description tasks are routinely used to monitor language impairment in AD. Due to the high amount of manual resources needed for an in-depth analysis of thereby-produced spontaneous speech, advanced natural language processing (NLP) combined with machine learning (ML) represents a promising opportunity. In this applied research field though, NLP and ML methodology do not necessarily ensure robust clinically actionable insights into cognitive language impairment in AD and additional precautions must be taken to ensure clinical-validity and generalizability of results. In this study, we add generalizability through multilingual feature statistics to computational approaches for the detection of language impairment in AD. We include 154 participants (78 healthy subjects, 76 patients with AD) from two different languages (106 English speaking and 47 French speaking). Each participant completed a picture description task, in addition to a battery of neuropsychological tests. Each response was recorded and manually transcribed. From this, task-specific, semantic, syntactic and paralinguistic features are extracted using NLP resources. Using inferential statistics, we determined language features, excluding task specific features, that are significant in both languages and therefore represent “generalizable” signs for cognitive language impairment in AD. In a second step, we evaluated all features as well as the generalizable ones for English, French and both languages in a binary discrimination ML scenario (AD vs. healthy) using a variety of classifiers. The generalizable language feature set outperforms the all language feature set in English, French and the multilingual scenarios. Semantic features are the most generalizable while paralinguistic features show no overlap between languages. The multilingual model shows an equal distribution of error in both English and French. By leveraging multilingual statistics combined with a theory-driven approach, we identify AD-related language impairment that generalizes beyond a single corpus or language to model language impairment as a clinically-relevant cognitive symptom. We find a primary impairment in semantics in addition to mild syntactic impairment, possibly confounded by additional impaired cognitive functions.</p>","2021-05-19","2025-02-18 20:22:44","2025-02-18 20:22:44","2025-02-18 20:22:44","","","","13","","Front. Aging Neurosci.","","","","","","","","English","","","","","Frontiers","","Publisher: Frontiers","","/Users/rebecasanz/Zotero/storage/HIF4PH2D/Lindsay et al. - 2021 - Language Impairment in Alzheimer’s Disease—Robust and Explainable Evidence for AD-Related Deteriorat.pdf","","","Alzheimer's disease1; Dementia2; Explainability7; Language Impairment4; Multilingual Machine Learning8; Natural Language Processing6; Picture Description5; Spontaneous Speech3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CVP4GQ7A","journalArticle","2021","Yeung, Anthony; Iaboni, Andrea; Rochon, Elizabeth; Lavoie, Monica; Santiago, Calvin; Yancheva, Maria; Novikova, Jekaterina; Xu, Mengdan; Robin, Jessica; Kaufman, Liam D.; Mostafa, Fariya","Correlating natural language processing and automated speech analysis with clinician assessment to quantify speech-language changes in mild cognitive impairment and Alzheimer’s dementia","Alzheimer's Research & Therapy","","1758-9193","10.1186/s13195-021-00848-x","https://doi.org/10.1186/s13195-021-00848-x","Language impairment is an important marker of neurodegenerative disorders. Despite this, there is no universal system of terminology used to describe these impairments and large inter-rater variability can exist between clinicians assessing language. The use of natural language processing (NLP) and automated speech analysis (ASA) is emerging as a novel and potentially more objective method to assess language in individuals with mild cognitive impairment (MCI) and Alzheimer’s dementia (AD). No studies have analyzed how variables extracted through NLP and ASA might also be correlated to language impairments identified by a clinician.","2021-06-04","2025-02-19 08:14:28","2025-02-19 08:14:28","2025-02-19 08:14:28","109","","1","13","","Alz Res Therapy","","","","","","","","en","","","","","Springer Link","","","","/Users/rebecasanz/Zotero/storage/86JVUD8Z/Yeung et al. - 2021 - Correlating natural language processing and automated speech analysis with clinician assessment to q.pdf","","","Alzheimer’s; Automated speech analysis; Dementia; Machine learning; Markers; Mild cognitive impairment; Natural language processing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
