"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GBI4KLAE","journalArticle","2020","Haider, Fasih; de la Fuente, Sofia; Luz, Saturnino","An Assessment of Paralinguistic Acoustic Features for Detection of Alzheimer's Dementia in Spontaneous Speech","IEEE Journal of Selected Topics in Signal Processing","","1941-0484","10.1109/JSTSP.2019.2955022","https://ieeexplore.ieee.org/document/8910399","Speech analysis could provide an indicator of Alzheimer's disease and help develop clinical tools for automatically detecting and monitoring disease progression. While previous studies have employed acoustic (speech) features for characterisation of Alzheimer's dementia, these studies focused on a few common prosodic features, often in combination with lexical and syntactic features which require transcription. We present a detailed study of the predictive value of purely acoustic features automatically extracted from spontaneous speech for Alzheimer's dementia detection, from a computational paralinguistics perspective. The effectiveness of several state-of-the-art paralinguistic feature sets for Alzheimer's detection were assessed on a balanced sample of DementiaBank's Pitt spontaneous speech dataset, with patients matched by gender and age. The feature sets assessed were the extended Geneva minimalistic acoustic parameter set (eGeMAPS), the emobase feature set, the ComParE 2013 feature set, and new Multi-Resolution Cochleagram (MRCG) features. Furthermore, we introduce a new active data representation (ADR) method for feature extraction in Alzheimer's dementia recognition. Results show that classification models based solely on acoustic speech features extracted through our ADR method can achieve accuracy levels comparable to those achieved by models that employ higher-level language features. Analysis of the results suggests that all feature sets contribute information not captured by other feature sets. We show that while the eGeMAPS feature set provides slightly better accuracy than other feature sets individually (71.34%), “hard fusion” of feature sets improves accuracy to 78.70%.","2020-02","2025-02-19 09:11:10","2025-02-19 09:11:10","2025-02-19 09:11:10","272-281","","2","14","","","","","","","","","","","","","","","IEEE Xplore","","Conference Name: IEEE Journal of Selected Topics in Signal Processing","","/Users/rebecasanz/Zotero/storage/U5SD7B7H/Haider et al. - 2020 - An Assessment of Paralinguistic Acoustic Features for Detection of Alzheimer's Dementia in Spontaneo.pdf","","","Acoustics; Affective computing; Alzheimer; Alzheimer's disease; cognitive decline detection; cognitive imp-airment detection; dementia; Feature extraction; Semantics; social signal processing; Task analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3YVX6ZJH","conferencePaper","2024","Ajroudi, Khaoula; Khedher, Mohamed Ibn; Jemai, Olfa; EI-Yacoubi, Mounim A.","Exploring the Efficacy of Text Embeddings in Early Dementia Diagnosis from Speech","2024 16th International Conference on Human System Interaction (HSI)","","","10.1109/HSI61632.2024.10613581","https://ieeexplore.ieee.org/document/10613581","Language impairment is a key biomarker for neurodegenerative diseases such as Alzheimer's dis-ease (AD). With the rapid growth of Large Language Models, natural language processing (NLP) has be-come a preferred modality for the early prediction of AD from speech. In this work, we propose a two-stage process for early detection of AD from transcriptions of speech. The first step involves extracting a discriminative text embedding representation using public models from OpenAI. This embedding serves as input for a machine learning classifier in the second stage. In this paper, we investigate three text embedding models and eight machine learning classifiers, both deep learning (DL) based and non-DL based. The evaluation was conducted using the public ADReSSo dataset of 237 patients. The results show that models “ada-002” and “3-small” produce discriminative embeddings that lead to good performance when combined with a Deep Neural Network in classification, achieving accuracy rates of 83.10% and 84.51 %, respectively.","2024-07","2025-02-19 20:51:21","2025-02-19 20:51:21","2025-02-19 20:51:21","1-6","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2158-2254","","","","","Alzheimer's Disease; Artificial neural networks; Deep learning; Deep Learning; Large Language Model; Large language models; Natural language processing; Natural Language Processing; Semantics; Speech Classification; Text Embedding; Transfer learning; Vectors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 16th International Conference on Human System Interaction (HSI)","","","","","","","","","","","","","","",""
"XPMR7HAV","conferencePaper","2023","Rauniyar, Kritesh; Thakur, Shuvam; Nevatia, Aayush; Shambharkar, Prashant Giridhar","Early Detection of Alzheimer's Disease: The Importance of Speech Analysis","2023 2nd International Conference on Applied Artificial Intelligence and Computing (ICAAIC)","","","10.1109/ICAAIC56838.2023.10140703","https://ieeexplore.ieee.org/document/10140703","Almost 50 million individuals throughout the world suffer from Alzheimer's disease (AD), a disease of the nervous system. There are no licensed medications on the market right now that can treat AD or halt its development. There are, however, treatments available that can help mediate AD in earlier stages. This demonstrates the necessity of early diagnosis. One of the notable symptoms of Alzheimer's can be in the patient's cognitive abilities. In daily chores, there is an indication of a diminished capacity for interpreting or producing speech. As a result, natural language processing can be a useful method for analyzing patient speech. Due to the rapid advancements in the field of computer science, we can use NLP to process these speech extracts from AD patients. NLP has a great deal of potential to help individuals who are suffering from mental illnesses receive better care. The study employs various Machine Learning models with ensemble learners and Deep Learning models for a comparative analysis to set a proper baseline for further research and advancements in the detection of Alzheimer's disease.","2023-05","2025-02-20 07:42:29","2025-02-20 07:42:29","2025-02-20 07:42:29","1069-1073","","","","","","Early Detection of Alzheimer's Disease","","","","","","","","","","","","IEEE Xplore","","","","/Users/rebecasanz/Zotero/storage/MVB8BMF4/Rauniyar et al. - 2023 - Early Detection of Alzheimer's Disease The Importance of Speech Analysis.pdf","","","Alzheimer's disease; Alzheimer's Disease; Analytical models; Computational modeling; Deep Learning; Machine Learning; NLP; Sociology; Speech analysis; Speech Analysis; Speech processing; Tokenization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023 2nd International Conference on Applied Artificial Intelligence and Computing (ICAAIC)","","","","","","","","","","","","","","",""
"W2VAIF3U","conferencePaper","2021","Saltz, Ploypaphat; Lin, Shih Yin; Cheng, Sunny Chieh; Si, Dong","Dementia Detection using Transformer-Based Deep Learning and Natural Language Processing Models","2021 IEEE 9th International Conference on Healthcare Informatics (ICHI)","","","10.1109/ICHI52183.2021.00094","https://ieeexplore.ieee.org/document/9565750","Dementia is a disease characterized by cognitive impairment that leads to incoherent or illogical thoughts and speech. There are attempts to identify dementia through speech analyses, but there is a dearth of research on casual conversation analysis. This work examined communication impairment detection of people with early-stage memory loss, including mild dementia and mild cognitive impairment. The data sets included semi-structured interviews from two studies conducted at the University of Washington (UW), the DementiaBank’s Pitt Corpus, and the ADReSS Challenge at INTERSPEECH 2020. We applied Transformer-based deep learning models to automatically extract linguistic features for identifying individuals with dementia. Our results showed the models’ abilities on detecting linguistic deficits with the best mean F1-score of 76% on the Pitt Corpus, 84% on the ADReSS, 90% on the augmented ADReSS, and 74% on the UW transcripts. The results suggest the potential possibility of a more flexible examination setting, casual semi-structured individual or group interview, for detecting incoherent or illogical thoughts and speech in patients with dementia.","2021-08","2025-02-20 07:42:47","2025-02-20 07:42:47","2025-02-20 07:42:47","509-510","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2575-2634","","/Users/rebecasanz/Zotero/storage/GNY4VMZE/Saltz et al. - 2021 - Dementia Detection using Transformer-Based Deep Learning and Natural Language Processing Models.pdf","","","Deep learning; Dementia; Feature extraction; Lead; Linguistics; Natural language processing; Natural Language Processing; Text Classification; Training; Transfer Learning; Transformer; Transformers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021 IEEE 9th International Conference on Healthcare Informatics (ICHI)","","","","","","","","","","","","","","",""
"655ALR28","conferencePaper","2023","Luz, Saturnino; Haider, Fasih; Fromm, Davida; Lazarou, Ioulietta; Kompatsiaris, Ioannis; MacWhinney, Brian","Multilingual Alzheimer’s Dementia Recognition through Spontaneous Speech: A Signal Processing Grand Challenge","ICASSP 2023 - 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","","10.1109/ICASSP49357.2023.10433923","https://ieeexplore.ieee.org/document/10433923","This Signal Processing Grand Challenge (SPGC) targets a difficult automatic prediction problem of societal and medical relevance, namely, the detection of Alzheimer’s Dementia (AD). Participants were invited to employ signal processing and machine learning methods to create predictive models based on spontaneous speech data. The Challenge has been designed to assess the extent to which predictive models built based on speech in one language (English) generalise to another language (Greek). To the best of our knowledge no work has investigated acoustic features of the speech signal in multilingual AD detection. Our baseline system used conventional machine learning algorithms with Active Data Representation of acoustic features, achieving accuracy of 73.91% on AD detection, and 4.95 root mean squared error on cognitive score prediction.","2023-06","2025-02-20 07:43:34","2025-02-20 07:43:34","2025-02-20 07:43:34","1-2","","","","","","Multilingual Alzheimer’s Dementia Recognition through Spontaneous Speech","","","","","","","","","","","","IEEE Xplore","","ISSN: 2379-190X","","/Users/rebecasanz/Zotero/storage/UDTZ7K6A/Luz et al. - 2023 - Multilingual Alzheimer’s Dementia Recognition through Spontaneous Speech A Signal Processing Grand.pdf; /Users/rebecasanz/Zotero/storage/CBSNJNJM/10433923.html","","","Acoustics; Alzheimer’s dementia detection; Alzheimer's disease; Feature extraction; Predictive models; Signal processing; Speech analysis; speech biomarkers; speech processing; Speech processing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ICASSP 2023 - 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","","","","","","","","","","","","","",""
"L22MHMX8","conferencePaper","2024","Akarsu, Ediz; Huseynliz, Zahra; Bilgiç, Başar; Diri, Dr. Banu","Alzheimer’s Disease Detection and Dataset Creation from Spontaneous Speech","2024 32nd Signal Processing and Communications Applications Conference (SIU)","","","10.1109/SIU61531.2024.10600907","https://ieeexplore.ieee.org/document/10600907","This study presents a novel approach for the diagnosis and prediction of the stages of Alzheimer’s disease. The aim of the study is to create a dataset for Alzheimer’s disease based on Turkish speech data and to provide a basis for future studies. For this purpose, spontaneous speech of Alzheimer’s patients was analyzed and language and speech disorders were analyzed. The study detects signs of Alzheimer’s disease based on the patient’s speech data instead of clinical test results or imaging data. Using machine learning and deep learning techniques, language features were analyzed and the results of different methods were compared. According to the results, 64% success rates were obtained with SVM and 70% with BERT+RNN. These results show that language-based analysis can be effective in early diagnosis and detection of Alzheimer’s disease. Furthermore, this study provides a valuable resource for studying Alzheimer’s disease on Turkish speech data and contributes to the development of language-based diagnosis methods.","2024-05","2025-02-24 13:01:52","2025-02-24 13:01:52","2025-02-24 13:01:52","1-4","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2165-0608","","/Users/rebecasanz/Zotero/storage/H9SD3A67/Akarsu et al. - 2024 - Alzheimer’s Disease Detection and Dataset Creation from Spontaneous Speech.pdf","","","Alzheimer's disease; Alzheimer’s disease; Alzheimer’s disease patient speech dataset; deep learning; Deep learning; Imaging; machine learning; Signal processing; speech analysis; Speech processing; Support vector machines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 32nd Signal Processing and Communications Applications Conference (SIU)","","","","","","","","","","","","","","",""
"DG3QUQEG","journalArticle","2024","Luz, Saturnino; Haider, Fasih; Fromm, Davida; Lazarou, Ioulietta; Kompatsiaris, Ioannis; MacWhinney, Brian","An Overview of the ADReSS-M Signal Processing Grand Challenge on Multilingual Alzheimer's Dementia Recognition Through Spontaneous Speech","IEEE Open Journal of Signal Processing","","2644-1322","10.1109/OJSP.2024.3378595","https://ieeexplore.ieee.org/document/10474114","The ADReSS-M Signal Processing Grand Challenge was held at the 2023 IEEE International Conference on Acoustics, Speech and Signal Processing, ICASSP 2023. The challenge targeted difficult automatic prediction problems of great societal and medical relevance, namely, the detection of Alzheimer's Dementia (AD) and the estimation of cognitive test scoress. Participants were invited to create models for the assessment of cognitive function based on spontaneous speech data. Most of these models employed signal processing and machine learning methods. The ADReSS-M challenge was designed to assess the extent to which predictive models built based on speech in one language generalise to another language. The language data compiled and made available for ADReSS-M comprised English, for model training, and Greek, for model testing and validation. To the best of our knowledge no previous shared research task investigated acoustic features of the speech signal or linguistic characteristics in the context of multilingual AD detection. This paper describes the context of the ADReSS-M challenge, its data sets, its predictive tasks, the evaluation methodology we employed, our baseline models and results, and the top five submissions. The paper concludes with a summary discussion of the ADReSS-M results, and our critical assessment of the future outlook in this field.","2024","2025-02-24 13:02:26","2025-02-24 13:02:26","2025-02-24 13:02:26","738-749","","","5","","","","","","","","","","","","","","","IEEE Xplore","","Conference Name: IEEE Open Journal of Signal Processing","","/Users/rebecasanz/Zotero/storage/9IGU2T7B/Luz et al. - 2024 - An Overview of the ADReSS-M Signal Processing Grand Challenge on Multilingual Alzheimer's Dementia R.pdf","","","Acoustics; Alzheimer's disease; Biological system modeling; Biomarkers; Biomedical signal processing; Data models; Feature extraction; human disease biomarkers; medical conditions; multilingual Alzheimer's dementia detection; natural language processing; Signal processing; speech processing; Task analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EJ962CZY","webpage","","","Profiling Patient Transcript Using Large Language Model Reasoning Augmentation for Alzheimer’s Disease Detection | IEEE Conference Publication | IEEE Xplore","","","","","https://ieeexplore.ieee.org/document/10782161","","","2025-02-24 13:02:28","2025-02-24 13:02:28","2025-02-24 13:02:28","","","","","","","","","","","","","","","","","","","","","","","/Users/rebecasanz/Zotero/storage/LYRUEYZ8/10782161.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BNCPCNS8","conferencePaper","2024","M M, Ramyasri; M, Yoga; S, Vetri Vendhan; Kumar M, Pramoth; S, Karthickeyan","Detection of Dementia using Machine Learning Algorithms","2024 International Conference on Cognitive Robotics and Intelligent Systems (ICC - ROBINS)","","","10.1109/ICC-ROBINS60238.2024.10534009","https://ieeexplore.ieee.org/document/10534009","In recent times, dementia, particularly Alzheimer’s disease, has become a major global health issue. The World Health Organisation reports an alarming 55 million individuals living with dementia worldwide, with an additional 10 million new cases identified annually. Dementia, a group of cognitive disorders affecting fundamental abilities like thinking, remembering, and reasoning, is primarily attributed to the destruction of brain cells, exerting a profound impact on brain function. Alzheimer’s disease, representing 60-80 percent of all dementia cases, is a progressive neurological condition, while vascular dementia, the second most prevalent form, results from microscopic brain hemorrhages and artery blockages. The progression of Alzheimer’s disease disrupts memory and cognitive functions. This study aims to contribute to the ongoing discourse by comparing the efficacy of machine learning algorithms in forecasting dementia incidence over two years against established models. The objective is to identify the most effective analytical techniques and determine the optimal number of predictive components for such forecasts. It is noteworthy that dementia-like symptoms may arise from treatable conditions, such as thyroid issues and vitamin shortages, underscoring the critical importance of early diagnosis and intervention. The significant challenges posed by dementia, particularly for elderly individuals struggling to manage their emotions, highlight the urgency for effective treatments. In this investigation, the accuracy of various machine-learning methods is assessed using a Kaggle dataset dedicated to dementia research. This analysis aims to contribute to the ongoing efforts aimed at enhancing dementia prediction and early diagnosis. The ultimate goal is to improve the well-being of individuals grappling with this debilitating affliction. The study reveals promising accuracy levels with Random Forest, GaussianNb, SVM, and AdaBoost, all demonstrating a high accuracy of 0.99, reinforcing the potential of machine learning in advancing our understanding and management of dementia.","2024-04","2025-02-24 13:03:09","2025-02-24 13:03:09","2025-02-24 13:03:09","382-386","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","/Users/rebecasanz/Zotero/storage/HYQ5EWVH/M M et al. - 2024 - Detection of Dementia using Machine Learning Algorithms.pdf; /Users/rebecasanz/Zotero/storage/3MKAIJ8B/10534009.html","","","Alzheimer’s detection; Alzheimer's disease; Feature Extraction; Machine Learning; Machine learning algorithms; Microscopy; Object recognition; Older adults; Predictive models; Support vector machines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 International Conference on Cognitive Robotics and Intelligent Systems (ICC - ROBINS)","","","","","","","","","","","","","","",""
"VARZQ5LG","conferencePaper","2023","Shah, Zehra; Qi, Shi-Ang; Wang, Fei; Farrokh, Mahtab; Tasnim, Mashrura; Stroulia, Eleni; Greiner, Russell; Plitsis, Manos; Katsamanis, Athanasios","Exploring Language-Agnostic Speech Representations Using Domain Knowledge for Detecting Alzheimer’s Dementia","ICASSP 2023 - 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","","10.1109/ICASSP49357.2023.10095593","https://ieeexplore.ieee.org/document/10095593","We explore ways to use speech data to screen for indications of Alzheimer’s dementia (AD). In particular, we describe our approach to the ICASSP 2023 Signal Processing Grand Challenge, which involves extrapolating from models learned from English speech samples, to Greek speech samples, to determine which subjects have AD. By using acoustic and linguistic features, inspired by clinical research on AD, our top-performing classification model achieves 69% accuracy in distinguishing AD patients from healthy controls, and our regression model attains an RMSE of 4.8 for inferring cognitive testing scores. These outcomes underscore the potential of our explainable model for detecting cognitive decline in AD patients via speech, and its applicability in clinical settings.","2023-06","2025-02-24 13:03:12","2025-02-24 13:03:12","2025-02-24 13:03:12","1-2","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2379-190X","","/Users/rebecasanz/Zotero/storage/NYFKTRHZ/Shah et al. - 2023 - Exploring Language-Agnostic Speech Representations Using Domain Knowledge for Detecting Alzheimer’s.pdf; /Users/rebecasanz/Zotero/storage/WA5N4IBF/10095593.html","","","Acoustics; Alzheimer’s dementia; Alzheimer's disease; Linguistics; Machine Learning; Signal processing; Signal Processing; Speech; Speech processing; Testing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ICASSP 2023 - 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","","","","","","","","","","","","","",""
