"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"B9TQYGWB","book","2025","","Proceedings of the 31st International Conference on Computational Linguistics","","","","","https://aclanthology.org/2025.coling-main.0/","","2025-01","2025-03-01 10:28:02","2025-03-01 10:28:02","2025-03-01 10:28:01","","","","","","","","","","","","Association for Computational Linguistics","Abu Dhabi, UAE","","","","","","ACLWeb","","","","/Users/rebecasanz/Zotero/storage/MRUN5ASR/Rambow et al. - 2025 - Proceedings of the 31st International Conference on Computational Linguistics.pdf","","","","Rambow, Owen; Wanner, Leo; Apidianaki, Marianna; Al-Khalifa, Hend; Eugenio, Barbara Di; Schockaert, Steven","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZAI28QC7","conferencePaper","2025","Zhao, Xinjie; Wang, Hao; Sriwarnasinghe, Shyaman Maduranga; Tang, Jiacheng; Wang, Shiyun; Sugiyama, Sayaka; Morikawa, So","Enhancing Participatory Development Research in South Asia through LLM Agents System: An Empirically-Grounded Methodological Initiative from Field Evidence in Sri Lankan","Proceedings of the First Workshop on Natural Language Processing for Indo-Aryan and Dravidian Languages","","","","https://aclanthology.org/2025.indonlp-1.13/","The integration of artificial intelligence into development research methodologies offers unprecedented opportunities to address persistent challenges in participatory research, particularly in linguistically diverse regions like South Asia. Drawing on empirical implementation in Sri Lanka`s Sinhala-speaking communities, this study presents a methodological framework designed to transform participatory development research in the multilingual context of Sri Lanka`s flood-prone Nilwala River Basin. Moving beyond conventional translation and data collection tools, the proposed framework leverages a multi-agent system architecture to redefine how data collection, analysis, and community engagement are conducted in linguistically and culturally complex research settings. This structured, agent-based approach facilitates participatory research that is both scalable and adaptive, ensuring that community perspectives remain central to research outcomes. Field experiences underscore the immense potential of LLM-based systems in addressing long-standing issues in development research across resource-limited regions, delivering both quantitative efficiencies and qualitative improvements in inclusivity. At a broader methodological level, this research advocates for AI-driven participatory research tools that prioritize ethical considerations, cultural sensitivity, and operational efficiency. It highlights strategic pathways for deploying AI systems to reinforce community agency and equitable knowledge generation, offering insights that could inform broader research agendas across the Global South.","2025-01","2025-03-01 10:28:02","2025-03-01 10:28:02","2025-03-01 10:28:01","108–121","","","","","","Enhancing Participatory Development Research in South Asia through LLM Agents System","","","","","Association for Computational Linguistics","Abu Dhabi","","","","","","ACLWeb","","","","/Users/rebecasanz/Zotero/storage/P7XX4F4M/Zhao et al. - 2025 - Enhancing Participatory Development Research in South Asia through LLM Agents System An Empirically.pdf","","","","Weerasinghe, Ruvan; Anuradha, Isuri; Sumanathilaka, Deshan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XPKNTITW","conferencePaper","2025","Heitz, Jonathan; Schneider, Gerold; Langer, Nicolas","Linguistic Features Extracted by GPT-4 Improve Alzheimer`s Disease Detection based on Spontaneous Speech","Proceedings of the 31st International Conference on Computational Linguistics","","","","https://aclanthology.org/2025.coling-main.126/","Alzheimer`s Disease (AD) is a significant and growing public health concern. Investigating alterations in speech and language patterns offers a promising path towards cost-effective and non-invasive early detection of AD on a large scale. Large language models (LLMs), such as GPT, have enabled powerful new possibilities for semantic text analysis. In this study, we leverage GPT-4 to extract five semantic features from transcripts of spontaneous patient speech. The features capture known symptoms of AD, but they are difficult to quantify effectively using traditional methods of computational linguistics. We demonstrate the clinical significance of these features and further validate one of them (“Word-Finding Difficulties”) against a proxy measure and human raters. When combined with established linguistic features and a Random Forest classifier, the GPT-derived features significantly improve the detection of AD. Our approach proves effective for both manually transcribed and automatically generated transcripts, representing a novel and impactful use of recent advancements in LLMs for AD speech analysis.","2025-01","2025-03-01 10:28:02","2025-03-01 10:28:02","2025-03-01 10:28:01","1850–1864","","","","","","","","","","","Association for Computational Linguistics","Abu Dhabi, UAE","","","","","","ACLWeb","","","","/Users/rebecasanz/Zotero/storage/V7BEBCCC/Heitz et al. - 2025 - Linguistic Features Extracted by GPT-4 Improve Alzheimer`s Disease Detection based on Spontaneous Sp.pdf","","","","Rambow, Owen; Wanner, Leo; Apidianaki, Marianna; Al-Khalifa, Hend; Eugenio, Barbara Di; Schockaert, Steven","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","COLING 2025","","","","","","","","","","","","","","",""
"MRL9I4HK","conferencePaper","2025","Heitz, Jonathan; Schneider, Gerold; Langer, Nicolas","Linguistic Features Extracted by GPT-4 Improve Alzheimer`s Disease Detection based on Spontaneous Speech","Proceedings of the 31st International Conference on Computational Linguistics","","","","https://aclanthology.org/2025.coling-main.126/","Alzheimer`s Disease (AD) is a significant and growing public health concern. Investigating alterations in speech and language patterns offers a promising path towards cost-effective and non-invasive early detection of AD on a large scale. Large language models (LLMs), such as GPT, have enabled powerful new possibilities for semantic text analysis. In this study, we leverage GPT-4 to extract five semantic features from transcripts of spontaneous patient speech. The features capture known symptoms of AD, but they are difficult to quantify effectively using traditional methods of computational linguistics. We demonstrate the clinical significance of these features and further validate one of them (“Word-Finding Difficulties”) against a proxy measure and human raters. When combined with established linguistic features and a Random Forest classifier, the GPT-derived features significantly improve the detection of AD. Our approach proves effective for both manually transcribed and automatically generated transcripts, representing a novel and impactful use of recent advancements in LLMs for AD speech analysis.","2025-01","2025-03-01 10:28:02","2025-03-01 10:28:02","2025-03-01 10:28:01","1850–1864","","","","","","","","","","","Association for Computational Linguistics","Abu Dhabi, UAE","","","","","","ACLWeb","","","","/Users/rebecasanz/Zotero/storage/QVCIA9YQ/Heitz et al. - 2025 - Linguistic Features Extracted by GPT-4 Improve Alzheimer`s Disease Detection based on Spontaneous Sp.pdf","","","","Rambow, Owen; Wanner, Leo; Apidianaki, Marianna; Al-Khalifa, Hend; Eugenio, Barbara Di; Schockaert, Steven","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","COLING 2025","","","","","","","","","","","","","","",""
"84WAN84I","conferencePaper","2022","Dinkar, Tanvi; Clavel, Chloé; Vasilescu, Ioana","Fillers in Spoken Language Understanding: Computational and Psycholinguistic Perspectives","Traitement Automatique des Langues, Volume 63, Numéro 3 : Etats de l`art en TAL [Review articles in NLP]","","","","https://aclanthology.org/2022.tal-3.3/","","2022","2025-03-01 10:28:02","2025-03-01 10:28:02","2025-03-01 10:28:01","37–62","","","","","","Fillers in Spoken Language Understanding","","","","","ATALA (Association pour le Traitement Automatique des Langues)","France","","","","","","ACLWeb","","","","/Users/rebecasanz/Zotero/storage/SCHEESAN/Dinkar et al. - 2022 - Fillers in Spoken Language Understanding Computational and Psycholinguistic Perspectives.pdf","","","","Fabre, Cécile; Morin, Emmanuel; Rosset, Sophie; Sébillot, Pascale","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TAL 2022","","","","","","","","","","","","","","",""
"EN7I4XHS","book","2022","","Traitement Automatique des Langues, Volume 63, Numéro 3 : Etats de l`art en TAL [Review articles in NLP]","","","","","https://aclanthology.org/2022.tal-3.0/","","2022","2025-03-01 10:28:02","2025-03-01 10:28:02","2025-03-01 10:28:01","","","","","","","Traitement Automatique des Langues, Volume 63, Numéro 3","","","","","ATALA (Association pour le Traitement Automatique des Langues)","France","","","","","","ACLWeb","","","","/Users/rebecasanz/Zotero/storage/RWQ5GBCW/Fabre et al. - 2022 - Traitement Automatique des Langues, Volume 63, Numéro 3  Etats de l`art en TAL [Review articles in.pdf","","","","Fabre, Cécile; Morin, Emmanuel; Rosset, Sophie; Sébillot, Pascale","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6MWFRWN9","journalArticle","2020","Névéol, Aurélie; de Bruijn, Berry; Fredouille, Corinne","TAL et Santé [NLP and Health]","Traitement Automatique des Langues","","","","https://aclanthology.org/2020.tal-2.1/","","2020","2025-03-01 10:28:02","2025-03-01 10:28:02","2025-03-01 10:28:01","7–14","","2","61","","","","","","","","","","fra","","","","","ACLWeb","","Place: France Publisher: ATALA (Association pour le Traitement Automatique des Langues)","","/Users/rebecasanz/Zotero/storage/JVWG6IGV/Névéol et al. - 2020 - TAL et Santé [NLP and Health].pdf","","","","Névéol, Aurélie; de Bruijn, Berry; Fredouille, Corinne","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7VG8VLWA","conferencePaper","2020","Amblard, Maxime; Braud, Chloé; Li, Chuyuan; Demily, Caroline; Franck, Nicolas; Musiol, Michel","Investigation par méthodes d`apprentissage des spécificités langagières propres aux personnes avec schizophrénie (Investigating Learning Methods Applied to Language Specificity of Persons with Schizophrenia)","Actes de la 6e conférence conjointe Journées d'Études sur la Parole (JEP, 33e édition), Traitement Automatique des Langues Naturelles (TALN, 27e édition), Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues (RÉCITAL, 22e édition). Volume 2 : Traitement Automatique des Langues Naturelles","","","","https://aclanthology.org/2020.jeptalnrecital-taln.2/","Nous présentons des expériences visant à identifier automatiquement des patients présentant des symptômes de schizophrénie dans des conversations contrôlées entre patients et psychothérapeutes. Nous fusionnons l`ensemble des tours de parole de chaque interlocuteur et entraînons des modèles de classification utilisant des informations lexicales, morphologiques et syntaxiques. Cette étude est la première du genre sur le français et obtient des résultats comparables à celles sur l`anglais. Nos premières expériences tendent à montrer que la parole des personnes avec schizophrénie se distingue de celle des témoins : le meilleur modèle obtient une exactitude de 93,66%. Des informations plus riches seront cependant nécessaires pour parvenir à un modèle robuste.","2020-06","2025-03-01 10:28:02","2025-03-01 10:28:02","2025-03-01 10:28:02","12–26","","","","","","","","","","","ATALA et AFCP","Nancy, France","fra","","","","","ACLWeb","","","","/Users/rebecasanz/Zotero/storage/L282ALSR/Amblard et al. - 2020 - Investigation par méthodes d`apprentissage des spécificités langagières propres aux personnes avec s.pdf","","","","Benzitoun, Christophe; Braud, Chloé; Huber, Laurine; Langlois, David; Ouni, Slim; Pogodalla, Sylvain; Schneider, Stéphane","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JEP/TALN/RECITAL 2020","","","","","","","","","","","","","","",""
"LEAMFL5P","book","2020","","Traitement Automatique des Langues, Volume 61, Numéro 2 : TAL et Santé [NLP and Health]","","","","","https://aclanthology.org/2020.tal-2.0/","","2020","2025-03-01 10:28:02","2025-03-01 10:28:02","2025-03-01 10:28:02","","","","","","","Traitement Automatique des Langues, Volume 61, Numéro 2","","","","","ATALA (Association pour le Traitement Automatique des Langues)","France","","","","","","ACLWeb","","","","/Users/rebecasanz/Zotero/storage/8CE67CIH/Névéol et al. - 2020 - Traitement Automatique des Langues, Volume 61, Numéro 2  TAL et Santé [NLP and Health].pdf","","","","Névéol, Aurélie; de Bruijn, Berry; Fredouille, Corinne","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88DHI7K3","conferencePaper","2019","López Espejel, Jessica","Automatic summarization of medical conversations, a review","Actes de la Conférence sur le Traitement Automatique des Langues Naturelles (TALN) PFIA 2019. Volume III : RECITAL","","","","https://aclanthology.org/2019.jeptalnrecital-recital.3/","ion et pour l`analyse du dialogue. Nous décrivons aussi les utilisation du Traitement Automatique des Langues dans le domaine médical. A BSTRACT Conversational analysis plays an important role in the development of simulation devices for the training of health professionals (doctors, nurses). Our goal is to develop an original automatic synthesis method for medical conversations between a patient and a healthcare professional, based on recent advances in summarization using convolutional and recurrent neural networks. The proposed method must be adapted to the specific problems related to the synthesis of dialogues. This article presents a review of the different methods for extractive and abstractive summarization, and for dialogue analysis. We also describe the use of Natural Language Processing in the medical field.","2019-07","2025-03-01 10:28:02","2025-03-01 10:28:02","2025-03-01 10:28:02","487–498","","","","","","","","","","","ATALA","Toulouse, France","","","","","","ACLWeb","","","","/Users/rebecasanz/Zotero/storage/SUFYZKCL/López Espejel - 2019 - Automatic summarization of medical conversations, a review.pdf","","","","Morin, Emmanuel; Rosset, Sophie; Zweigenbaum, Pierre","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JEP/TALN/RECITAL 2019","","","","","","","","","","","","","","",""
