"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"4TBZS344","journalArticle","2021","Luz, Saturnino; Haider, Fasih; de la Fuente Garcia, Sofia; Fromm, Davida; MacWhinney, Brian","Editorial: Alzheimer's Dementia Recognition through Spontaneous Speech","Frontiers in Computer Science","","2624-9898","10.3389/fcomp.2021.780169","","","2021","2025-02-19 20:37:27","2025-02-19 20:37:27","","780169","","","3","","Front Comput Sci","Editorial","","","","","","","eng","","","","","PubMed","","PMID: 35291512 PMCID: PMC8920352","","/Users/rebecasanz/Zotero/storage/F49N7KFI/Luz et al. - 2021 - Editorial Alzheimer's Dementia Recognition through Spontaneous Speech.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/35291512","","Alzheimer’s disease; computational paralinguistics; machine learning; natural language processing (NLP); signal processing (SP); speech processing and recognition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G8C6WIGD","journalArticle","2022","Yang, Qin; Li, Xin; Ding, Xinyun; Xu, Feiyang; Ling, Zhenhua","Deep learning-based speech analysis for Alzheimer's disease detection: a literature review","Alzheimer's Research & Therapy","","1758-9193","10.1186/s13195-022-01131-3","","BACKGROUND: Alzheimer's disease has become one of the most common neurodegenerative diseases worldwide, which seriously affects the health of the elderly. Early detection and intervention are the most effective prevention methods currently. Compared with traditional detection methods such as traditional scale tests, electroencephalograms, and magnetic resonance imaging, speech analysis is more convenient for automatic large-scale Alzheimer's disease detection and has attracted extensive attention from researchers. In particular, deep learning-based speech analysis and language processing techniques for Alzheimer's disease detection have been studied and achieved impressive results. METHODS: To integrate the latest research progresses, hundreds of relevant papers from ACM, DBLP, IEEE, PubMed, Scopus, Web of Science electronic databases, and other sources were retrieved. We used these keywords for paper search: (Alzheimer OR dementia OR cognitive impairment) AND (speech OR voice OR audio) AND (deep learning OR neural network). CONCLUSIONS: Fifty-two papers were finally retained after screening. We reviewed and presented the speech databases, deep learning methods, and model performances of these studies. In the end, we pointed out the mainstreams and limitations in the current studies and provided a direction for future research.","2022-12-14","2025-02-19 20:38:00","2025-02-19 20:38:00","","186","","1","14","","Alzheimers Res Ther","Deep learning-based speech analysis for Alzheimer's disease detection","","","","","","","eng","","","","","PubMed","","PMID: 36517837 PMCID: PMC9749308","","/Users/rebecasanz/Zotero/storage/FQZ5AY9B/Yang et al. - 2022 - Deep learning-based speech analysis for Alzheimer's disease detection a literature review.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/36517837","","Aged; Alzheimer Disease; Alzheimer’s disease detection; Cognitive Dysfunction; Deep learning; Deep Learning; Early Diagnosis; Humans; Speech; Speech analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X8X9BP6R","journalArticle","2022","Vigo, Inês; Coelho, Luis; Reis, Sara","Speech- and Language-Based Classification of Alzheimer's Disease: A Systematic Review","Bioengineering (Basel, Switzerland)","","2306-5354","10.3390/bioengineering9010027","","BACKGROUND: Alzheimer's disease (AD) has paramount importance due to its rising prevalence, the impact on the patient and society, and the related healthcare costs. However, current diagnostic techniques are not designed for frequent mass screening, delaying therapeutic intervention and worsening prognoses. To be able to detect AD at an early stage, ideally at a pre-clinical stage, speech analysis emerges as a simple low-cost non-invasive procedure. OBJECTIVES: In this work it is our objective to do a systematic review about speech-based detection and classification of Alzheimer's Disease with the purpose of identifying the most effective algorithms and best practices. METHODS: A systematic literature search was performed from Jan 2015 up to May 2020 using ScienceDirect, PubMed and DBLP. Articles were screened by title, abstract and full text as needed. A manual complementary search among the references of the included papers was also performed. Inclusion criteria and search strategies were defined a priori. RESULTS: We were able: to identify the main resources that can support the development of decision support systems for AD, to list speech features that are correlated with the linguistic and acoustic footprint of the disease, to recognize the data models that can provide robust results and to observe the performance indicators that were reported. DISCUSSION: A computational system with the adequate elements combination, based on the identified best-practices, can point to a whole new diagnostic approach, leading to better insights about AD symptoms and its disease patterns, creating conditions to promote a longer life span as well as an improvement in patient quality of life. The clinically relevant results that were identified can be used to establish a reference system and help to define research guidelines for future developments.","2022-01-11","2025-02-19 20:38:07","2025-02-19 20:38:07","","27","","1","9","","Bioengineering (Basel)","Speech- and Language-Based Classification of Alzheimer's Disease","","","","","","","eng","","","","","PubMed","","PMID: 35049736 PMCID: PMC8772820","","/Users/rebecasanz/Zotero/storage/EK3Z9DQ7/Vigo et al. - 2022 - Speech- and Language-Based Classification of Alzheimer's Disease A Systematic Review.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/35049736","","Alzheimer’s disease (AD); classification; features; machine learning (ML); mild cognitive impairment (MCI); speech","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NK4XXUCS","journalArticle","2023","Qi, Xiaoke; Zhou, Qing; Dong, Jian; Bao, Wei","Noninvasive automatic detection of Alzheimer's disease from spontaneous speech: a review","Frontiers in Aging Neuroscience","","1663-4365","10.3389/fnagi.2023.1224723","","Alzheimer's disease (AD) is considered as one of the leading causes of death among people over the age of 70 that is characterized by memory degradation and language impairment. Due to language dysfunction observed in individuals with AD patients, the speech-based methods offer non-invasive, convenient, and cost-effective solutions for the automatic detection of AD. This paper systematically reviews the technologies to detect the onset of AD from spontaneous speech, including data collection, feature extraction and classification. First the paper formulates the task of automatic detection of AD and describes the process of data collection. Then, feature extractors from speech data and transcripts are reviewed, which mainly contains acoustic features from speech and linguistic features from text. Especially, general handcrafted features and deep embedding features are organized from different modalities. Additionally, this paper summarizes optimization strategies for AD detection systems. Finally, the paper addresses challenges related to data size, model explainability, reliability and multimodality fusion, and discusses potential research directions based on these challenges.","2023","2025-02-19 20:38:13","2025-02-19 20:38:13","","1224723","","","15","","Front Aging Neurosci","Noninvasive automatic detection of Alzheimer's disease from spontaneous speech","","","","","","","eng","","","","","PubMed","","PMID: 37693647 PMCID: PMC10484224","","/Users/rebecasanz/Zotero/storage/GKCT3RKB/Qi et al. - 2023 - Noninvasive automatic detection of Alzheimer's disease from spontaneous speech a review.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/37693647","","Alzheimer's disease; classification; dataset; deep learning; machine learning; optimization; spontaneous speech","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MGU6GGRY","journalArticle","2021","Mahajan, Pranav; Baths, Veeky","Acoustic and Language Based Deep Learning Approaches for Alzheimer's Dementia Detection From Spontaneous Speech","Frontiers in Aging Neuroscience","","1663-4365","10.3389/fnagi.2021.623607","","Current methods for early diagnosis of Alzheimer's Dementia include structured questionnaires, structured interviews, and various cognitive tests. Language difficulties are a major problem in dementia as linguistic skills break down. Current methods do not provide robust tools to capture the true nature of language deficits in spontaneous speech. Early detection of Alzheimer's Dementia (AD) from spontaneous speech overcomes the limitations of earlier approaches as it is less time consuming, can be done at home, and is relatively inexpensive. In this work, we re-implement the existing NLP methods, which used CNN-LSTM architectures and targeted features from conversational transcripts. Our work sheds light on why the accuracy of these models drops to 72.92% on the ADReSS dataset, whereas, they gave state of the art results on the DementiaBank dataset. Further, we build upon these language input-based recurrent neural networks by devising an end-to-end deep learning-based solution that performs a binary classification of Alzheimer's Dementia from the spontaneous speech of the patients. We utilize the ADReSS dataset for all our implementations and explore the deep learning-based methods of combining acoustic features into a common vector using recurrent units. Our approach of combining acoustic features using the Speech-GRU improves the accuracy by 2% in comparison to acoustic baselines. When further enriched by targeted features, the Speech-GRU performs better than acoustic baselines by 6.25%. We propose a bi-modal approach for AD classification and discuss the merits and opportunities of our approach.","2021","2025-02-19 20:38:21","2025-02-19 20:38:21","","623607","","","13","","Front Aging Neurosci","","","","","","","","eng","","","","","PubMed","","PMID: 33613269 PMCID: PMC7893079","","/Users/rebecasanz/Zotero/storage/YLGPAAGX/Mahajan and Baths - 2021 - Acoustic and Language Based Deep Learning Approaches for Alzheimer's Dementia Detection From Spontan.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/33613269","","affective computing; cognitive decline detection; computational paralinguistics; deep learning; natural language processing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CS47IEFH","journalArticle","2022","Sanz, Camila; Carrillo, Facundo; Slachevsky, Andrea; Forno, Gonzalo; Gorno Tempini, Maria Luisa; Villagra, Roque; Ibáñez, Agustín; Tagliazucchi, Enzo; García, Adolfo M.","Automated text-level semantic markers of Alzheimer's disease","Alzheimer's & Dementia (Amsterdam, Netherlands)","","2352-8729","10.1002/dad2.12276","","INTRODUCTION: Automated speech analysis has emerged as a scalable, cost-effective tool to identify persons with Alzheimer's disease dementia (ADD). Yet, most research is undermined by low interpretability and specificity. METHODS: Combining statistical and machine learning analyses of natural speech data, we aimed to discriminate ADD patients from healthy controls (HCs) based on automated measures of domains typically affected in ADD: semantic granularity (coarseness of concepts) and ongoing semantic variability (conceptual closeness of successive words). To test for specificity, we replicated the analyses on Parkinson's disease (PD) patients. RESULTS: Relative to controls, ADD (but not PD) patients exhibited significant differences in both measures. Also, these features robustly discriminated between ADD patients and HC, while yielding near-chance classification between PD patients and HCs. DISCUSSION: Automated discourse-level semantic analyses can reveal objective, interpretable, and specific markers of ADD, bridging well-established neuropsychological targets with digital assessment tools.","2022","2025-02-19 20:38:36","2025-02-19 20:38:36","","e12276","","1","14","","Alzheimers Dement (Amst)","","","","","","","","eng","","","","","PubMed","","PMID: 35059492 PMCID: PMC8759093","","/Users/rebecasanz/Zotero/storage/9T4YQAL6/Sanz et al. - 2022 - Automated text-level semantic markers of Alzheimer's disease.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/35059492","","Alzheimer's disease dementia; automated speech analysis; Parkinson's disease; semantic granularity; semantic variability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ES726IY","journalArticle","2022","Shellikeri, Sanjana; Cho, Sunghye; Cousins, Katheryn A. Q.; Liberman, Mark; Howard, Erica; Balganorth, Yvonne; Weintraub, Daniel; Spindler, Meredith; Deik, Andres; Lee, Edward B.; Trojanowski, John Q.; Irwin, David; Wolk, David; Grossman, Murray; Nevler, Naomi","Natural speech markers of Alzheimer's disease co-pathology in Lewy body dementias","Parkinsonism & Related Disorders","","1873-5126","10.1016/j.parkreldis.2022.07.023","","INTRODUCTION: An estimated 50% of patients with Lewy body dementias (LBD), including Parkinson's disease dementia (PDD) and Dementia with Lewy bodies (DLB), have co-occurring Alzheimer's disease (AD) that is associated with worse prognosis. This study tests an automated analysis of natural speech as an inexpensive, non-invasive screening tool for AD co-pathology in biologically-confirmed cohorts of LBD patients with AD co-pathology (SYN + AD) and without (SYN-AD). METHODS: We analyzed lexical-semantic and acoustic features of picture descriptions using automated methods in 22 SYN + AD and 38 SYN-AD patients stratified using AD CSF biomarkers or autopsy diagnosis. Speech markers of AD co-pathology were identified using best subset regression, and their diagnostic discrimination was tested using receiver operating characteristic. ANCOVAs compared measures between groups covarying for demographic differences and cognitive disease severity. We tested relations with CSF tau levels, and compared speech measures between PDD and DLB clinical disorders in the same cohort. RESULTS: Age of acquisition of nouns (p = 0.034, |d| = 0.77) and lexical density (p = 0.0064, |d| = 0.72) were reduced in SYN + AD, and together showed excellent discrimination for SYN + AD vs. SYN-AD (95% sensitivity, 66% specificity; AUC = 0.82). Lower lexical density was related to higher CSF t-Tau levels (R = -0.41, p = 0.0021). Clinically-diagnosed PDD vs. DLB did not differ on any speech features. CONCLUSION: AD co-pathology may result in a deviant natural speech profile in LBD characterized by specific lexical-semantic impairments, not detectable by clinical disorder diagnosis. Our study demonstrates the potential of automated digital speech analytics as a screening tool for underlying AD co-pathology in LBD.","2022-09","2025-02-19 20:39:55","2025-02-19 20:39:55","","94-100","","","102","","Parkinsonism Relat Disord","","","","","","","","eng","","","","","PubMed","","PMID: 35985146 PMCID: PMC9680016","","/Users/rebecasanz/Zotero/storage/6VL67MA9/Shellikeri et al. - 2022 - Natural speech markers of Alzheimer's disease co-pathology in Lewy body dementias.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/35985146","","alpha-Synuclein; Alzheimer Disease; Alzheimer's disease; Amyloid beta-Peptides; Automatic speech processing; Biomarkers; Dementia; Digital biomarker; Humans; Lewy body dementia; Lewy Body Disease; Natural language processing; Parkinson Disease; Parkinson disease dementia; Speech; Speech analysis; tau Proteins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YPBEM93E","journalArticle","2022","Kumar, M. Rupesh; Vekkot, Susmitha; Lalitha, S.; Gupta, Deepa; Govindraj, Varasiddhi Jayasuryaa; Shaukat, Kamran; Alotaibi, Yousef Ajami; Zakariah, Mohammed","Dementia Detection from Speech Using Machine Learning and Deep Learning Architectures","Sensors (Basel, Switzerland)","","1424-8220","10.3390/s22239311","","Dementia affects the patient's memory and leads to language impairment. Research has demonstrated that speech and language deterioration is often a clear indication of dementia and plays a crucial role in the recognition process. Even though earlier studies have used speech features to recognize subjects suffering from dementia, they are often used along with other linguistic features obtained from transcriptions. This study explores significant standalone speech features to recognize dementia. The primary contribution of this work is to identify a compact set of speech features that aid in the dementia recognition process. The secondary contribution is to leverage machine learning (ML) and deep learning (DL) models for the recognition task. Speech samples from the Pitt corpus in Dementia Bank are utilized for the present study. The critical speech feature set of prosodic, voice quality and cepstral features has been proposed for the task. The experimental results demonstrate the superiority of machine learning (87.6 percent) over deep learning (85 percent) models for recognizing Dementia using the compact speech feature combination, along with lower time and memory consumption. The results obtained using the proposed approach are promising compared with the existing works on dementia recognition using speech.","2022-11-29","2025-02-19 20:40:01","2025-02-19 20:40:01","","9311","","23","22","","Sensors (Basel)","","","","","","","","eng","","","","","PubMed","","PMID: 36502013 PMCID: PMC9740675","","/Users/rebecasanz/Zotero/storage/GLYJG2PD/Kumar et al. - 2022 - Dementia Detection from Speech Using Machine Learning and Deep Learning Architectures.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/36502013","","Alzheimer’s disease; deep learning; Deep Learning; Dementia; Humans; Linguistics; machine learning; Machine Learning; Speech; speech signal processing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WA5RNJY8","journalArticle","2022","Agbavor, Felix; Liang, Hualou","Predicting dementia from spontaneous speech using large language models","PLOS digital health","","2767-3170","10.1371/journal.pdig.0000168","","Language impairment is an important biomarker of neurodegenerative disorders such as Alzheimer's disease (AD). Artificial intelligence (AI), particularly natural language processing (NLP), has recently been increasingly used for early prediction of AD through speech. Yet, relatively few studies exist on using large language models, especially GPT-3, to aid in the early diagnosis of dementia. In this work, we show for the first time that GPT-3 can be utilized to predict dementia from spontaneous speech. Specifically, we leverage the vast semantic knowledge encoded in the GPT-3 model to generate text embedding, a vector representation of the transcribed text from speech, that captures the semantic meaning of the input. We demonstrate that the text embedding can be reliably used to (1) distinguish individuals with AD from healthy controls, and (2) infer the subject's cognitive testing score, both solely based on speech data. We further show that text embedding considerably outperforms the conventional acoustic feature-based approach and even performs competitively with prevailing fine-tuned models. Together, our results suggest that GPT-3 based text embedding is a viable approach for AD assessment directly from speech and has the potential to improve early diagnosis of dementia.","2022-12","2025-02-19 20:40:07","2025-02-19 20:40:07","","e0000168","","12","1","","PLOS Digit Health","","","","","","","","eng","","","","","PubMed","","PMID: 36812634 PMCID: PMC9931366","","/Users/rebecasanz/Zotero/storage/QJMR32SK/Agbavor and Liang - 2022 - Predicting dementia from spontaneous speech using large language models.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/36812634","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PEP3YRUT","journalArticle","2022","Liu, Ziming; Paek, Eun Jin; Yoon, Si On; Casenhiser, Devin; Zhou, Wenjun; Zhao, Xiaopeng","Detecting Alzheimer's Disease Using Natural Language Processing of Referential Communication Task Transcripts","Journal of Alzheimer's disease: JAD","","1875-8908","10.3233/JAD-215137","","BACKGROUND: People with Alzheimer's disease (AD) often demonstrate difficulties in discourse production. Referential communication tasks (RCTs) are used to examine a speaker's capability to select and verbally code the characteristics of an object in interactive conversation. OBJECTIVE: In this study, we used contextualized word representations from Natural language processing (NLP) to evaluate how well RCTs are able to distinguish between people with AD and cognitively healthy older adults. METHODS: We adapted machine learning techniques to analyze manually transcribed speech transcripts in an RCT from 28 older adults, including 12 with AD and 16 cognitively healthy older adults. Two approaches were applied to classify these speech transcript samples: 1) using clinically relevant linguistic features, 2) using machine learned representations derived by a state-of-art pretrained NLP transfer learning model, Bidirectional Encoder Representation from Transformer (BERT) based classification model. RESULTS: The results demonstrated the superior performance of AD detection using a designed transfer learning NLP algorithm. Moreover, the analysis showed that transcripts of a single image yielded high accuracies in AD detection. CONCLUSION: The results indicated that RCT may be useful as a diagnostic tool for AD, and that the task can be simplified to a subset of images without significant sacrifice to diagnostic accuracy, which can make RCT an easier and more practical tool for AD diagnosis. The results also demonstrate the potential of RCT as a tool to better understand cognitive deficits from the perspective of discourse production in people with AD.","2022","2025-02-19 20:40:14","2025-02-19 20:40:14","","1385-1398","","3","86","","J Alzheimers Dis","","","","","","","","eng","","","","","PubMed","","PMID: 35213368","","","http://www.ncbi.nlm.nih.gov/pubmed/35213368","","Aged; Alzheimer Disease; Alzheimer’s disease; Cognitive Dysfunction; Communication; early diagnosis; Humans; natural language processing; Natural Language Processing; Speech; transfer learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
