"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"J78H8IZ7","journalArticle","2024","Chou, CJ; Chang, CT; Chang, YN; Lee, CY; Chuang, YF; Chiu, YL; Liang, WL; Fan, YM; Liu, YC","Screening for early Alzheimer's disease: enhancing diagnosis with linguistic features and biomarkers","FRONTIERS IN AGING NEUROSCIENCE","","1663-4365","10.3389/fnagi.2024.1451326","","Introduction Research has shown that speech analysis demonstrates sensitivity in detecting early Alzheimer's disease (AD), but the relation between linguistic features and cognitive tests or biomarkers remains unclear. This study aimed to investigate how linguistic features help identify cognitive impairments in patients in the early stages of AD. Method This study analyzed connected speech from 80 participants and categorized the participants into early-AD and normal control (NC) groups. The participants underwent amyloid-beta positron emission tomography scans, brain magnetic resonance imaging, and comprehensive neuropsychological testing. Participants' speech data from a picture description task were examined. A total of 15 linguistic features were analyzed to classify groups and predict cognitive performance. Results We found notable linguistic differences between the early-AD and NC groups in lexical diversity, syntactic complexity, and language disfluency. Using machine learning classifiers (SVM, KNN, and RF), we achieved up to 88% accuracy in distinguishing early-AD patients from normal controls, with mean length of utterance (MLU) and long pauses ratio (LPR) serving as core linguistic indicators. Moreover, the integration of linguistic indicators with biomarkers significantly improved predictive accuracy for AD. Regression analysis also highlighted crucial linguistic features, such as MLU, LPR, Type-to-Token ratio (TTR), and passive construction ratio (PCR), which were sensitive to changes in cognitive function. Conclusion Findings support the efficacy of linguistic analysis as a screening tool for the early detection of AD and the assessment of subtle cognitive decline. Integrating linguistic features with biomarkers significantly improved diagnostic accuracy.","2024-09-23","2025-02-26 20:36:58","2025-02-26 20:36:58","","","","","16","","","","","","","","","","English","","","","WOS:001329347800001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;0<br/>Total Times Cited:&nbsp;&nbsp;0<br/>Cited Reference Count:&nbsp;&nbsp;49</p>","","","Alzheimer's disease; amyloid-beta; cognitive impairment; CONNECTED LANGUAGE; DECLINE; DEMENTIA; DISCOURSE; hippocampal volume; linguistic features; MARKER; MILD COGNITIVE IMPAIRMENT; SPEECH; speech analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DJRN3JDI","journalArticle","2022","Kumar, MR; Vekkot, S; Lalitha, S; Gupta, D; Govindraj, VJ; Shaukat, K; Alotaibi, YA; Zakariah, M","Dementia Detection from Speech Using Machine Learning and Deep Learning Architectures","SENSORS","","1424-8220","10.3390/s22239311","","Dementia affects the patient's memory and leads to language impairment. Research has demonstrated that speech and language deterioration is often a clear indication of dementia and plays a crucial role in the recognition process. Even though earlier studies have used speech features to recognize subjects suffering from dementia, they are often used along with other linguistic features obtained from transcriptions. This study explores significant standalone speech features to recognize dementia. The primary contribution of this work is to identify a compact set of speech features that aid in the dementia recognition process. The secondary contribution is to leverage machine learning (ML) and deep learning (DL) models for the recognition task. Speech samples from the Pitt corpus in Dementia Bank are utilized for the present study. The critical speech feature set of prosodic, voice quality and cepstral features has been proposed for the task. The experimental results demonstrate the superiority of machine learning (87.6 percent) over deep learning (85 percent) models for recognizing Dementia using the compact speech feature combination, along with lower time and memory consumption. The results obtained using the proposed approach are promising compared with the existing works on dementia recognition using speech.","2022-12","2025-02-26 20:36:59","2025-02-26 20:36:59","","","","23","22","","","","","","","","","","English","","","","WOS:000896357600001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;27<br/>Total Times Cited:&nbsp;&nbsp;28<br/>Cited Reference Count:&nbsp;&nbsp;54</p>","","","Alzheimer's disease; ALZHEIMERS-DISEASE; CEPSTRUM; deep learning; machine learning; speech signal processing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TWGWR6T7","journalArticle","2024","Tripathi, T; Kumar, R","Speech-based detection of multi-class Alzheimer's disease classification using machine learning","INTERNATIONAL JOURNAL OF DATA SCIENCE AND ANALYTICS","","2364-415X","10.1007/s41060-023-00475-9","","Alzheimer's disease, a significant global health concern, necessitates early detection for effective treatment and management. This research introduces an innovative method for classifying six types of cognitive impairment via speech-based analysis: probable AD, possible AD, MCI, memory impairments, vascular dementia, and control. Leveraging speech data from DementiaBank's Pitt Corpus, we preprocess the data to extract relevant acoustic features. These features are then employed to train five machine learning algorithms: KNN, DT, SVM, XGBoost, and RF. The study's results indicate an overall accuracy of 75.59% in the six-class classification challenge. Furthermore, statistical tests establish the statistical significance of the differences in accuracy between XGBoost and the other algorithms, except for random forest. This approach has the potential to evolve into a non-invasive, cost-effective, and readily accessible diagnostic tool for early cognitive impairment detection and management.","2024-06","2025-02-26 20:36:59","2025-02-26 20:36:59","","83-96","","1","18","","","","","","","","","","English","","","","WOS:001126739700001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;4<br/>Total Times Cited:&nbsp;&nbsp;4<br/>Cited Reference Count:&nbsp;&nbsp;36</p>","","","Alzheimer's disease; Classification; Machine learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V6QPZ7VE","journalArticle","2022","Yamada, Y; Shinkawa, K; Nemoto, M; Ota, M; Nemoto, K; Arai, T","Speech and language characteristics differentiate Alzheimer's disease and dementia with Lewy bodies","ALZHEIMER'S & DEMENTIA: DIAGNOSIS, ASSESSMENT & DISEASE MONITORING","","2352-8729","10.1002/dad2.12364","","IntroductionEarly differential diagnosis of Alzheimer's disease (AD) and dementia with Lewy bodies (DLB) is important, but it remains challenging. Different profiles of speech and language impairments between AD and DLB have been suggested, but direct comparisons have not been investigated. MethodsWe collected speech responses from 121 older adults comprising AD, DLB, and cognitively normal (CN) groups and investigated their acoustic, prosodic, and linguistic features. ResultsThe AD group showed larger differences from the CN group than the DLB group in linguistic features, while the DLB group showed larger differences in prosodic and acoustic features. Machine-learning classifiers using these speech features achieved 87.0% accuracy for AD versus CN, 93.2% for DLB versus CN, and 87.4% for AD versus DLB. DiscussionOur findings indicate the discriminative differences in speech features in AD and DLB and the feasibility of using these features in combination as a screening tool for identifying/differentiating AD and DLB.","2022","2025-02-26 20:36:59","2025-02-26 20:36:59","","","","1","14","","","","","","","","","","English","","","","WOS:000914865700095","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;15<br/>Total Times Cited:&nbsp;&nbsp;16<br/>Cited Reference Count:&nbsp;&nbsp;50</p>","","","acoustic; ASSOCIATION WORKGROUPS; CRITERIA; DIAGNOSTIC GUIDELINES; digital health; IMPAIRMENT; language impairment; linguistic; machine learning; MANAGEMENT; NATIONAL INSTITUTE; natural language processing; PARKINSONS-DISEASE; prosodic; RECOMMENDATIONS; spontaneous speech","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZG9UBQ7E","journalArticle","2021","Clarke, N; Barrick, TR; Garrard, P","A Comparison of Connected Speech Tasks for Detecting Early Alzheimer's Disease and Mild Cognitive Impairment Using Natural Language Processing and Machine Learning","FRONTIERS IN COMPUTER SCIENCE","","2624-9898","10.3389/fcomp.2021.634360","","Alzheimer's disease (AD) has a long pre-clinical period, and so there is a crucial need for early detection, including of Mild Cognitive Impairment (MCI). Computational analysis of connected speech using Natural Language Processing and machine learning has been found to indicate disease and could be utilized as a rapid, scalable test for early diagnosis. However, there has been a focus on the Cookie Theft picture description task, which has been criticized. Fifty participants were recruited - 25 healthy controls (HC), 25 mild AD or MCI (AD+MCI) - and these completed five connected speech tasks: picture description, a conversational map reading task, recall of an overlearned narrative, procedural recall and narration of a wordless picture book. A high-dimensional set of linguistic features were automatically extracted from each transcript and used to train Support Vector Machines to classify groups. Performance varied, with accuracy for HC vs. AD+MCI classification ranging from 62% using picture book narration to 78% using overlearned narrative features. This study shows that, importantly, the conditions of the speech task have an impact on the discourse produced, which influences accuracy in detection of AD beyond the length of the sample. Further, we report the features important for classification using different tasks, showing that a focus on the Cookie Theft picture description task may narrow the understanding of how early AD pathology impacts speech.","2021-05-31","2025-02-26 20:36:59","2025-02-26 20:36:59","","","","","3","","","","","","","","","","English","","","","WOS:000663557300001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;29<br/>Total Times Cited:&nbsp;&nbsp;30<br/>Cited Reference Count:&nbsp;&nbsp;68</p>","","","alzheimer's disease; ASSOCIATION WORKGROUPS; connected speech; dementia; DEMENTIA; DEPRESSION; DIAGNOSTIC GUIDELINES; discourse; DISCOURSE; EXAMINATION III; machine learning; mild cognitive impairment; MINI-MENTAL-STATE; NATIONAL INSTITUTE; natural language processing; PROGRESSIVE APHASIA; RECOMMENDATIONS; spontaneous speech","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WEAKGLVG","journalArticle","2024","Noto, S; Sekiyama, Y; Nagata, R; Yamamoto, G; Tamura, T","Analysis of Speech Features in Alzheimer's Disease with Machine Learning: A Case-Control Study","HEALTHCARE","","2227-9032","10.3390/healthcare12212194","","Background: Changes in the speech and language of patients with Alzheimer's disease (AD) have been reported. Using machine learning to characterize these irregularities may contribute to the early, non-invasive diagnosis of AD. Methods: We conducted cognitive function assessments, including the Mini-Mental State Examination, with 83 patients with AD and 75 healthy elderly participants, and recorded pre- and post-assessment conversations to evaluate participants' speech. We analyzed the characteristics of the spectrum, intensity, fundamental frequency, and minute temporal variation (triangle) of the intensity and fundamental frequency of the speech and compared them between patients with AD and healthy participants. Additionally, we evaluated the performance of the speech features that differed between the two groups as single explanatory variables. Results: We found significant differences in almost all elements of the speech spectrum between the two groups. Regarding the intensity, we found significant differences in all the factors except for the standard deviation between the two groups. In the performance evaluation, the areas under the curve revealed by logistic regression analysis were higher for the center of gravity (0.908 +/- 0.036), mean skewness (0.904 +/- 0.023), kurtosis (0.932 +/- 0.023), and standard deviation (0.977 +/- 0.012) of the spectra. Conclusions: This study used machine learning to reveal speech features of patients diagnosed with AD in comparison with healthy elderly people. Significant differences were found between the two groups in all components of the spectrum, paving the way for early non-invasive diagnosis of AD in the future.","2024-11","2025-02-26 20:36:59","2025-02-26 20:36:59","","","","21","12","","","","","","","","","","English","","","","WOS:001351451900001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;0<br/>Total Times Cited:&nbsp;&nbsp;0<br/>Cited Reference Count:&nbsp;&nbsp;42</p>","","","Alzheimer's disease; artificial intelligence (AI); DEMENTIA; machine learning; MILD COGNITIVE IMPAIRMENT; spectrum; voice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ERX4YMNC","journalArticle","2021","Lindsay, H; Tröger, J; König, A","Language Impairment in Alzheimer's Disease-Robust and Explainable Evidence for AD-Related Deterioration of Spontaneous Speech Through Multilingual Machine Learning","FRONTIERS IN AGING NEUROSCIENCE","","1663-4365","10.3389/fnagi.2021.642033","","Alzheimer's disease (AD) is a pervasive neurodegenerative disease that affects millions worldwide and is most prominently associated with broad cognitive decline, including language impairment. Picture description tasks are routinely used to monitor language impairment in AD. Due to the high amount of manual resources needed for an in-depth analysis of thereby-produced spontaneous speech, advanced natural language processing (NLP) combined with machine learning (ML) represents a promising opportunity. In this applied research field though, NLP and ML methodology do not necessarily ensure robust clinically actionable insights into cognitive language impairment in AD and additional precautions must be taken to ensure clinical-validity and generalizability of results. In this study, we add generalizability through multilingual feature statistics to computational approaches for the detection of language impairment in AD. We include 154 participants (78 healthy subjects, 76 patients with AD) from two different languages (106 English speaking and 47 French speaking). Each participant completed a picture description task, in addition to a battery of neuropsychological tests. Each response was recorded and manually transcribed. From this, task-specific, semantic, syntactic and paralinguistic features are extracted using NLP resources. Using inferential statistics, we determined language features, excluding task specific features, that are significant in both languages and therefore represent ""generalizable"" signs for cognitive language impairment in AD. In a second step, we evaluated all features as well as the generalizable ones for English, French and both languages in a binary discrimination ML scenario (AD vs. healthy) using a variety of classifiers. The generalizable language feature set outperforms the all language feature set in English, French and the multilingual scenarios. Semantic features are the most generalizable while paralinguistic features show no overlap between languages. The multilingual model shows an equal distribution of error in both English and French. By leveraging multilingual statistics combined with a theory-driven approach, we identify AD-related language impairment that generalizes beyond a single corpus or language to model language impairment as a clinically-relevant cognitive symptom. We find a primary impairment in semantics in addition to mild syntactic impairment, possibly confounded by additional impaired cognitive functions.","2021-05-19","2025-02-26 20:36:59","2025-02-26 20:36:59","","","","","13","","","","","","","","","","English","","","","WOS:000656843700001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;32<br/>Total Times Cited:&nbsp;&nbsp;34<br/>Cited Reference Count:&nbsp;&nbsp;70</p>","","","Alzheimer's disease; COMPLEXITY; COMPREHENSION; dementia; DEMENTIA; explainability; language impairment; MILD COGNITIVE IMPAIRMENT; multilingual machine learning; natural language processing; picture description; PICTURE DESCRIPTION; spontaneous speech","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TVNYCSYC","journalArticle","2021","Sadeghian, R; Schaffer, JD; Zahorian, SA","Towards an Automatic Speech-Based Diagnostic Test for Alzheimer's Disease","FRONTIERS IN COMPUTER SCIENCE","","2624-9898","10.3389/fcomp.2021.624594","","Automatic Speech Recognition (ASR) is widely used in many applications and tools. Smartphones, video games, and cars are a few examples where people use ASR routinely and often daily. A less commonly used, but potentially very important arena for using ASR, is the health domain. For some people, the impact on life could be enormous. The goal of this work is to develop an easy-to-use, non-invasive, inexpensive speech-based diagnostic test for dementia that can easily be applied in a clinician's office or even at home. While considerable work has been published along these lines, increasing dramatically recently, it is primarily of theoretical value and not yet practical to apply. A large gap exists between current scientific understanding, and the creation of a diagnostic test for dementia. The aim of this paper is to bridge this gap between theory and practice by engineering a practical test. Experimental evidence suggests that strong discrimination between subjects with a diagnosis of probable Alzheimer's vs. matched normal controls can be achieved with a combination of acoustic features from speech, linguistic features extracted from a transcription of the speech, and results of a mini mental state exam. A fully automatic speech recognition system tuned for the speech-to-text aspect of this application, including automatic punctuation, is also described.","2021-04-07","2025-02-26 20:36:59","2025-02-26 20:36:59","","","","","3","","","","","","","","","","English","","","","WOS:000705871800001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;10<br/>Total Times Cited:&nbsp;&nbsp;12<br/>Cited Reference Count:&nbsp;&nbsp;43</p>","","","alzheimer's disease; dementia; DEMENTIA; machine learning; natural language processing; speech processing; VOICE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DT65YEQ9","journalArticle","2023","Bae, M; Seo, MG; Ko, HYW; Ham, H; Kim, KY; Lee, JY","The efficacy of memory load on speech-based detection of Alzheimer's disease","FRONTIERS IN AGING NEUROSCIENCE","","1663-4365","10.3389/fnagi.2023.1186786","","IntroductionThe study aims to test whether an increase in memory load could improve the efficacy in detection of Alzheimer's disease and prediction of the Mini-Mental State Examination (MMSE) score. MethodsSpeech from 45 mild-to-moderate Alzheimer's disease patients and 44 healthy older adults were collected using three speech tasks with varying memory loads. We investigated and compared speech characteristics of Alzheimer's disease across speech tasks to examine the effect of memory load on speech characteristics. Finally, we built Alzheimer's disease classification models and MMSE prediction models to assess the diagnostic value of speech tasks. ResultsThe speech characteristics of Alzheimer's disease in pitch, loudness, and speech rate were observed and the high-memory-load task intensified such characteristics. The high-memory-load task outperformed in AD classification with an accuracy of 81.4% and MMSE prediction with a mean absolute error of 4.62. DiscussionThe high-memory-load recall task is an effective method for speech-based Alzheimer's disease detection.","2023-06-02","2025-02-26 20:36:59","2025-02-26 20:36:59","","","","","15","","","","","","","","","","English","","","","WOS:001006364200001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;1<br/>Total Times Cited:&nbsp;&nbsp;1<br/>Cited Reference Count:&nbsp;&nbsp;48</p>","","","ADULTS; Alzheimer's disease; automatic speech analysis; DEMENTIA; FLUENCY; IMPAIRMENT; machine learning; Mini Mental State Examination; MOTOR-PERFORMANCE; PARAMETERS; speech acoustics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7BTYDXHQ","journalArticle","2023","Yamada, Y; Shinkawa, K; Nemoto, M; Nemoto, K; Arai, T","A mobile application using automatic speech analysis for classifying Alzheimer?s disease and mild cognitive impairment","COMPUTER SPEECH AND LANGUAGE","","0885-2308","10.1016/j.csl.2023.101514","","Speech and language disturbances have been observed from the early stages of Alzheimer's disease (AD), including mild cognitive impairment (MCI), and speech analysis has been expected to help as a screening tool for early detection of AD and MCI. However, the questions of whether and how automatic speech analysis, including speech recognition by a self-administered tool, can be used for such detection remain largely unexplored. In this study, we performed automatic analysis of speech data collected via a mobile application from 114 older participants during cognitive tasks. The goal was to classify AD, MCI, and cognitively normal (CN) groups by using speech features characterizing acoustic, prosodic, and linguistic aspects. First, we evaluated how accurately linguistic features could be automatically extracted from transcriptions generated by automatic speech recognition (ASR), and we found that the features were highly correlated (r = 0.92) with those extracted from manual transcriptions. Then, a machine-learning speech classifier using these features achieved 78.6% accuracy for classifying AD, MCI, and CN through nested cross-validation (AD versus CN: 91.2% accuracy; MCI versus CN: 87.6% accuracy). Our results suggest the utility and validity of using a mobile application with automatic speech analysis as a self-administered screening tool for early detection of AD and MCI.","2023-06","2025-02-26 20:36:59","2025-02-26 20:36:59","","","","","81","","","","","","","","","","English","","","","WOS:000959955900001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;7<br/>Total Times Cited:&nbsp;&nbsp;8<br/>Cited Reference Count:&nbsp;&nbsp;111</p>","","","ADULTS; Automatic speech recognition; CARE; CONNECTED SPEECH; DEMENTIA; DIAGNOSIS; FLUENCY; LANGUAGE; Machine learning; Natural language processing; PARAMETERS; RECOGNITION; Screening; Self-administered; VOICES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
