"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"335YQZAE","journalArticle","2024","Azimi, M; Yang, TY","Transformer-based framework for accurate segmentation of high-resolution images in structural health monitoring","COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING","","1093-9687","10.1111/mice.13211","","High-resolution image segmentation is essential in structural health monitoring (SHM), enabling accurate detection and quantification of structural components and damages. However, conventional convolutional neural network-based segmentation methods face limitations in real-world deployment, particularly when handling high-resolution images producing low-resolution outputs. This study introduces a novel framework named Refined-Segment Anything Model (R-SAM) to overcome such challenges. R-SAM leverages the state-of-the-art zero-shot SAM to generate unlabeled segmentation masks, subsequently employing the DEtection Transformer model to label the instances. The key feature and contribution of the R-SAM is its refinement module, which improves the accuracy of masks generated by SAM without the need for extensive data annotations and fine-tuning. The effectiveness of the proposed framework was assessed through qualitative and quantitative analyses across diverse case studies, including multiclass segmentation, simultaneous segmentation and tracking, and 3D reconstruction. The results demonstrate that R-SAM outperforms state-of-the-art convolution neural network-based segmentation models with a mean intersection-over-union of 97% and a mean boundary accuracy of 87%. In addition, achieving high coefficients of determination in target-free tracking case studies highlights its versatility in addressing various challenges in SHM.","2024-12","2025-02-26 20:41:48","2025-02-26 20:41:48","","3670-3684","","24","39","","","","","","","","","","English","","","","WOS:001205446000001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;3<br/>Total Times Cited:&nbsp;&nbsp;3<br/>Cited Reference Count:&nbsp;&nbsp;67</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5Y5TNY39","journalArticle","2024","Demiray, BZ; Sit, M; Mermer, O; Demir, I","Enhancing hydrological modeling with transformers: a case study for 24-h streamflow prediction","WATER SCIENCE AND TECHNOLOGY","","0273-1223","10.2166/wst.2024.110","","In this paper, we address the critical task of 24-h streamflow forecasting using advanced deep-learning models, with a primary focus on the Transformer architecture which has seen limited application in this specific task. We compare the performance of five different models, including Persistence, long short-term memory (LSTM), Seq2Seq, GRU, and Transformer, across four distinct regions. The evaluation is based on three performance metrics: Nash-Sutcliffe Efficiency (NSE), Pearson's r, and normalized root mean square error (NRMSE). Additionally, we investigate the impact of two data extension methods: zero-padding and persistence, on the model's predictive capabilities. Our findings highlight the Transformer's superiority in capturing complex temporal dependencies and patterns in the streamflow data, outperforming all other models in terms of both accuracy and reliability. Specifically, the Transformer model demonstrated a substantial improvement in NSE scores by up to 20% compared to other models. The study's insights emphasize the significance of leveraging advanced deep learning techniques, such as the Transformer, in hydrological modeling and streamflow forecasting for effective water resource management and flood prediction.","2024-05-01","2025-02-26 20:41:49","2025-02-26 20:41:49","","2326-2341","","9","89","","","","","","","","","","English","","","","WOS:001196683400001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;2<br/>Total Times Cited:&nbsp;&nbsp;2<br/>Cited Reference Count:&nbsp;&nbsp;64</p>","","","deep learning; flood forecasting; MACHINE; machine learning; rainfall-runoff modeling; streamflow forecasting; transformers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8IWRABF3","journalArticle","2024","Burrichter, B; da Silva, JK; Niemann, A; Quirmbach, M","A Temporal Fusion Transformer Model to Forecast Overflow from Sewer Manholes during Pluvial Flash Flood Events","HYDROLOGY","","2306-5338","10.3390/hydrology11030041","","This study employs a temporal fusion transformer (TFT) for predicting overflow from sewer manholes during heavy rainfall events. The TFT utilised is capable of forecasting overflow hydrographs at the manhole level and was tested on a sewer network with 975 manholes. As part of the investigations, the TFT was compared to other deep learning architectures to evaluate its predictive performance. In addition to precipitation measurements and forecasts, the issue of how the additional consideration of measurements in the sewer network as model inputs impacts forecast accuracy was investigated. A varying number of sensors and different measurement signals were compared. The results indicate high performance for the TFT compared to other model architectures like a long short-term memory (LSTM) network or a dual-stage attention-based recurrent neural network (DA-RNN). Additionally, results suggest that considering a single measuring point at the outlet of the sewer network instead of an entire measuring network yields better forecasts. One possible explanation is the high correlation between measurements, which increases model and training complexity without adding much value.","2024-03","2025-02-26 20:41:49","2025-02-26 20:41:49","","","","3","11","","","","","","","","","","English","","","","WOS:001192607300001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;2<br/>Total Times Cited:&nbsp;&nbsp;2<br/>Cited Reference Count:&nbsp;&nbsp;55</p>","","","deep learning; manhole overflow; real-time flood forecasting; SHORT-TERM-MEMORY; temporal fusion transformer; URBAN; urban drainage system; urban pluvial flooding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUTEEH6B","journalArticle","2023","Zharova, MA; Tsurkov, VI","Neural Network Approaches for Recommender Systems","JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL","","1064-2307","10.1134/S1064230723060126","","Recommender systems are special algorithms that allow users to receive personalized recommendations on topics that interest them. Systems of this kind are widely used in various fields, for example, in e-commerce, provider services, social networks, etc. Together with classical approaches, neural networks have also become popular in recommender systems in recent years, which are gradually replacing traditional methods of collaborative filtering and content-based algorithms. However, neural networks require large computing resources, which often raises questions on whether an increase in quality will be justified and whether there be one at all. The neural network approach in recommender systems-the self-attentive sequential recommendation (SASRec) transformer model from Microsoft Recommenders-is studied and compared with the classic algorithm, the LightFM hybrid model. For training and validation, the data taken from a housing search application are used. It is proposed to use the hit rate as the main metric for comparison. The results of the experiments will help to understand which algorithms have higher accuracy in terms of predictions and recommendations. As an additional part, the clustering of user and object embeddings is considered.","2023-12","2025-02-26 20:41:49","2025-02-26 20:41:49","","1048-1062","","6","62","","","","","","","","","","English","","","","WOS:001141428800012","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;1<br/>Total Times Cited:&nbsp;&nbsp;1<br/>Cited Reference Count:&nbsp;&nbsp;14</p>","","","collaborative filtering; matrix factorization; neural networks; recommender systems; users and objects","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4R56REWI","journalArticle","2023","Zhang, C; Liu, ST; Guo, MZ; Liu, YC","A novel ship trajectory clustering analysis and anomaly detection method based on AIS data","OCEAN ENGINEERING","","0029-8018","10.1016/j.oceaneng.2023.116082","","The increasing volume of ship traffic has resulted in new challenges for the supervision of maritime safety administration. The conventional manual monitoring approach for maritime traffic is inefficient and lacks specifics, particularly for supervising ships with abnormal trajectories. To address this issue, this study proposes utilizing the minimum description length criterion to extract features from ship trajectory data provided by the automatic identification system (AIS). This approach simplifies the compression of ship trajectories. Additionally, the dynamic time warping trajectory similarity measurement algorithm is employed to optimize the density-based spatial clustering of applications with noise algorithm. This optimization enables the clustering of ship trajectories and the acquisition of normalized ship motion trajectories. Furthermore, a ship trajectory prediction method based on a transformer model is proposed, and the normalized motion trajectory is used as the training set for model training. The trained ship trajectory prediction model is subsequently utilized to predict the target ship trajectory. The AIS ship trajectory data in the vicinity of Yantai Port were used for experimental verification. The results demonstrate the effectiveness of the proposed approach in identifying abnormal ship trajectories.","2023-11-15","2025-02-26 20:41:49","2025-02-26 20:41:49","","","","","288","","","","","","","","","","English","","","","WOS:001104327300001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;6<br/>Total Times Cited:&nbsp;&nbsp;6<br/>Cited Reference Count:&nbsp;&nbsp;34</p>","","","Dynamic time warping; Minimum description length; MODEL; Ship trajectory; Transformer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9V43943H","journalArticle","2023","Jeon, H; Park, S; Kim, JG; Kang, U","PET: Parameter-efficient Knowledge Distillation on Transformer","PLOS ONE","","1932-6203","10.1371/journal.pone.0288060","","Given a large Transformer model, how can we obtain a small and computationally efficient model which maintains the performance of the original model? Transformer has shown significant performance improvements for many NLP tasks in recent years. However, their large size, expensive computational cost, and long inference time make it challenging to deploy them to resource-constrained devices. Existing Transformer compression methods mainly focus on reducing the size of the encoder ignoring the fact that the decoder takes the major portion of the long inference time. In this paper, we propose PET (Parameter-Efficient knowledge distillation on Transformer), an efficient Transformer compression method that reduces the size of both the encoder and decoder. In PET, we identify and exploit pairs of parameter groups for efficient weight sharing, and employ a warm-up process using a simplified task to increase the gain through Knowledge Distillation. Extensive experiments on five real-world datasets show that PET outperforms existing methods in machine translation tasks. Specifically, on the IWSLT'14 EN & RARR;DE task, PET reduces the memory usage by 81.20% and accelerates the inference speed by 45.15% compared to the uncompressed model, with a minor decrease in BLEU score of 0.27.","2023-07-06","2025-02-26 20:41:49","2025-02-26 20:41:49","","","","7","18","","","","","","","","","","English","","","","WOS:001025358100006","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;3<br/>Total Times Cited:&nbsp;&nbsp;3<br/>Cited Reference Count:&nbsp;&nbsp;46</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9TPLKBEU","journalArticle","2023","Moratelli, N; Barraco, M; Morelli, D; Cornia, M; Baraldi, L; Cucchiara, R","Fashion-Oriented Image Captioning with External Knowledge Retrieval and Fully Attentive Gates","SENSORS","","1424-8220","10.3390/s23031286","","Research related to fashion and e-commerce domains is gaining attention in computer vision and multimedia communities. Following this trend, this article tackles the task of generating fine-grained and accurate natural language descriptions of fashion items, a recently-proposed and under-explored challenge that is still far from being solved. To overcome the limitations of previous approaches, a transformer-based captioning model was designed with the integration of external textual memory that could be accessed through k-nearest neighbor (kNN) searches. From an architectural point of view, the proposed transformer model can read and retrieve items from the external memory through cross-attention operations, and tune the flow of information coming from the external memory thanks to a novel fully attentive gate. Experimental analyses were carried out on the fashion captioning dataset (FACAD) for fashion image captioning, which contains more than 130k fine-grained descriptions, validating the effectiveness of the proposed approach and the proposed architectural strategies in comparison with carefully designed baselines and state-of-the-art approaches. The presented method constantly outperforms all compared approaches, demonstrating its effectiveness for fashion image captioning.","2023-02","2025-02-26 20:41:49","2025-02-26 20:41:49","","","","3","23","","","","","","","","","","English","","","","WOS:000929612500001","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;9<br/>Total Times Cited:&nbsp;&nbsp;9<br/>Cited Reference Count:&nbsp;&nbsp;65</p>","","","fashion captioning; image captioning; knowledge retrieval; TRANSFORMER; vision-and-language","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ISS6I47W","journalArticle","2023","Bhagavathsingh, B; Sathish, AV; Kalaiselvan, A; John, CE","Build Your Own Band (BYOB): Generating instrumental accompaniments for a melody","ROMANIAN JOURNAL OF INFORMATION TECHNOLOGY AND AUTOMATIC CONTROL-REVISTA ROMANA DE INFORMATICA SI AUTOMATICA","","1220-1758","10.33436/v33i4y202308","","Artificial Intelligence (AI) has led to advancements in multiple fields of research, and music has always been a field of high interest. Music is an important part of life and various studies have shown the link between better living and listening to music. From completing melodies to composing music from scratch, there are many applications of AI in this domain. This paper aims to analyse one such application of using AI for music generation, specifically for instrumental accompaniment. Instrumental accompaniment is essentially the instrumental music that is composed to support or complement a melody. Creating instrumental accompaniment for music generally requires extensive musical knowledge or forming a band together with skilled instrumentalists. Build Your Own Band (BYOB) attempts to simplify this process with the help of AI. In this research work, three transformer models are employed for training various accompanying instruments. Here, the proposed transformer model accepts a melody line as input and produces an accompanying track with instruments like bass instruments, the guitar and string instruments. One of the main challenges was to make sure that these instruments produce a cohesive sound.","2023","2025-02-26 20:41:49","2025-02-26 20:41:49","","99-108","","4","33","","","","","","","","","","English","","","","WOS:001126126300004","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;0<br/>Total Times Cited:&nbsp;&nbsp;0<br/>Cited Reference Count:&nbsp;&nbsp;13</p>","","","Artificial Intelligence; Music Generation Typesetting and Structure.; Seq2Seq; Transformer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B27GZGSX","journalArticle","2024","Miok, K; Tenorio, EH; Osenova, P; Benítez-Castro, MA; Robnik-Sikonja, M","Multi-aspect multilingual and cross-lingual parliamentary speech analysis","INTELLIGENT DATA ANALYSIS","","1088-467X","10.3233/IDA-227347","","Parliamentary and legislative debate transcripts provide an informative insight into elected politicians' opinions, positions, and policy preferences. They are interesting for political and social sciences as well as linguistics and natural language processing (NLP) research. While exiting research studied individual parliaments, we apply advanced NLP methods to a joint and comparative analysis of six national parliaments (Bulgarian, Czech, French, Slovene, Spanish, and United Kingdom) between 2017 and 2020. We analyze emotions and sentiment in the transcripts from the ParlaMint dataset collection, and assess if the age, gender, and political orientation of speakers can be detected from their speeches. The results show some commonalities and many surprising differences among the analyzed countries.","2024","2025-02-26 20:41:49","2025-02-26 20:41:49","","239-260","","1","28","","","","","","","","","","English","","","","WOS:001193411600012","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;0<br/>Total Times Cited:&nbsp;&nbsp;0<br/>Cited Reference Count:&nbsp;&nbsp;59</p>","","","AGE; cross-lingual analysis; deep learning; emotion detection; GENDER; metadata prediction; natural language processing; ParlaMint corpora; Parliamentary debates; PARTIES; POLITICS; sentiment analysis; SENTIMENT ANALYSIS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ED8BJGL4","journalArticle","2024","Arshad, T; Zhang, JP","A Light-Weighted Spectral-Spatial Transformer Model for Hyperspectral Image Classification","IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING","","1939-1404","10.1109/JSTARS.2024.3419070","","Classifying hyperspectral images in remote sensing applications is challenging due to limited training samples and high dimensionality of data. Deep-learning-based methods have recently demonstrated promising results in the classification of HSI. This article presents a proposed methodology for extracting local features and high-level semantic features from HSI input data using a light-weighted spectral-spatial transformer. This approach will allow us to comprehensively examine the spatial and spectral characteristics while reducing the computing expenses. The proposed model integrates lightweight multihead self-attention and residual feedforward modules in order to effectively capture long-range dependencies and address the computational challenges associated with this model. In order to assess the efficiency of the proposed model, we conducted experiments on four publicly available datasets. The obtained experimental results were then compared with those of the existing state-of-the-art models. The proposed model obtains the best classification results in terms of classification accuracy and computational complexity under limited training samples. The overall accuracy of the proposed model achieved 99.91, 98.06, 99.43 and 99.01 on four datasets.","2024","2025-02-26 20:41:49","2025-02-26 20:41:49","","12008-12019","","","17","","","","","","","","","","English","","","","WOS:001270275700020","","","","<p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;3<br/>Total Times Cited:&nbsp;&nbsp;3<br/>Cited Reference Count:&nbsp;&nbsp;49</p>","","","Convolutional neural network (CNN); hyperspectral image (HSI) classification; lightweight multihead self-attention; NETWORKS; vision transformers (ViTs)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
